Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
16S_FCS_Hsap_S1_scAem_plus10d_Rep1_01-plus10_R1_raw	16S_FCS_Hsap_S1_scAem_plus10d_Rep1_01-plus10_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167346.0	0.0	35-301	54.0	7.269967612013434	299.950216915851	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scAem_plus10d_Rep1_01-plus10_R2_raw	16S_FCS_Hsap_S1_scAem_plus10d_Rep1_01-plus10_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167346.0	0.0	35-301	55.0	18.039869491950807	299.7024786968317	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scAem_plus3mon_Rep1_01-plus3m_R1_raw	16S_FCS_Hsap_S1_scAem_plus3mon_Rep1_01-plus3m_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96775.0	0.0	35-301	53.0	9.109790751743734	299.7699922500646	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scAem_plus3mon_Rep1_01-plus3m_R2_raw	16S_FCS_Hsap_S1_scAem_plus3mon_Rep1_01-plus3m_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96775.0	0.0	35-301	54.0	19.095840867992766	299.5436011366572	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scAem_plus6mon_Rep1_01-plus6m_R1_raw	16S_FCS_Hsap_S1_scAem_plus6mon_Rep1_01-plus6m_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120341.0	0.0	35-301	52.0	9.286111965165654	299.5309661711304	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scAem_plus6mon_Rep1_01-plus6m_R2_raw	16S_FCS_Hsap_S1_scAem_plus6mon_Rep1_01-plus6m_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	120341.0	0.0	35-301	54.0	19.373280926699962	299.3085066602405	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scWim_120d_Rep1_01-120_R1_raw	16S_FCS_Hsap_S1_scWim_120d_Rep1_01-120_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	150864.0	0.0	35-301	52.0	8.11326757874642	299.6806594018454	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scWim_120d_Rep1_01-120_R2_raw	16S_FCS_Hsap_S1_scWim_120d_Rep1_01-120_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	150864.0	0.0	35-301	54.0	17.727887368755965	299.47690635274154	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scWim_14d_Rep1_01-14_R1_raw	16S_FCS_Hsap_S1_scWim_14d_Rep1_01-14_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	170370.0	0.0	35-301	53.0	8.152256852732288	299.6464518401127	pass	warn	fail	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scWim_14d_Rep1_01-14_R2_raw	16S_FCS_Hsap_S1_scWim_14d_Rep1_01-14_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	170370.0	0.0	35-301	54.0	17.95914773727769	299.4637553559899	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scWim_150d_Rep1_01-150_R1_raw	16S_FCS_Hsap_S1_scWim_150d_Rep1_01-150_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72909.0	0.0	35-301	53.0	10.205873074654706	299.79420921971223	pass	warn	fail	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scWim_150d_Rep1_01-150_R2_raw	16S_FCS_Hsap_S1_scWim_150d_Rep1_01-150_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	72909.0	0.0	35-301	54.0	19.69304201127433	299.6343798433664	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scWim_180d_Rep1_01-180_R1_raw	16S_FCS_Hsap_S1_scWim_180d_Rep1_01-180_R1_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64838.0	0.0	35-301	53.0	10.023443042660169	299.7606033498874	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
16S_FCS_Hsap_S1_scWim_180d_Rep1_01-180_R2_raw	16S_FCS_Hsap_S1_scWim_180d_Rep1_01-180_R2_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64838.0	0.0	35-301	54.0	21.029334649433974	299.5065702211666	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
