Module	Section	Sample Name	Source
FastQC	all_sections	16S_FCS_Hsap_S3_scAem_plus6mon_Rep3_03-plus6m_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S3_scAem_plus6mon_Rep3_03-plus6m_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S4_scWim_300d_Rep4_04-300_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S4_scWim_300d_Rep4_04-300_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S3_scBem_minus10d_Rep1_03-minus10_R2_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S3_scBem_minus10d_Rep1_03-minus10_R2_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S1_scWim_450d_Rep1_01-450_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S1_scWim_450d_Rep1_01-450_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S2_scWim_240d_Rep1_02-240_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S2_scWim_240d_Rep1_02-240_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S1_scWim_504d_Rep1_01-504_R2_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S1_scWim_504d_Rep1_01-504_R2_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S3_scWim_520d_Rep3_03-520_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S3_scWim_520d_Rep3_03-520_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S5_scWim_504d_Rep5_05-504_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S5_scWim_504d_Rep5_05-504_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S3_scWim_90d_Rep3_03-90_R2_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S3_scWim_90d_Rep3_03-90_R2_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S1_scWim_90d_Rep1_01-90_R2_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S1_scWim_90d_Rep1_01-90_R2_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S1_scWim_330d_Rep1_01-330_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S1_scWim_330d_Rep1_01-330_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S6_scWim_150d_Rep6_06-150_R2_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S6_scWim_150d_Rep6_06-150_R2_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S4_scWim_14d_Rep4_04-14_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S4_scWim_14d_Rep4_04-14_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S6_scWim_210d_Rep6_06-210_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S6_scWim_210d_Rep6_06-210_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S4_scWim_360d_Rep4_04-360_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S4_scWim_360d_Rep4_04-360_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S5_scWim_330d_Rep5_05-330_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S5_scWim_330d_Rep5_05-330_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S2_scAem_plus3mon_Rep2_02-plus3m_R2_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S2_scAem_plus3mon_Rep2_02-plus3m_R2_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S4_scWim_7d_Rep4_04-7_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S4_scWim_7d_Rep4_04-7_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S6_scWim_450d_Rep6_06-450_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S6_scWim_450d_Rep6_06-450_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S2_scWim_21d_Rep2_02-21_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S2_scWim_21d_Rep2_02-21_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S3_scWim_14d_Rep3_03-14_R2_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S3_scWim_14d_Rep3_03-14_R2_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S6_scWim_240d_Rep5_06-240_R2_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S6_scWim_240d_Rep5_06-240_R2_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S3_scWim_504d_Rep3_03-504_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S3_scWim_504d_Rep3_03-504_R1_raw_fastqc.zip
FastQC	all_sections	16S_FCS_Hsap_S3_scWim_7d_Rep3_03-7_R1_raw	/data1/Data_Processing/Diversity_Amplicon_Datasets/GLDS_Datasets/GLDS-191/metagenomics/Lee-work/processed/Raw_Data/16S_FCS_Hsap_S3_scWim_7d_Rep3_03-7_R1_raw_fastqc.zip
