SampleID	CrewMember	Timepoint_Day	Phase	FinalOutputs
16S_FCS_Hsap_S1_scWim_120d_Rep1_01-120	S1	120	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_14d_Rep1_01-14	S1	14	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_150d_Rep1_01-150	S1	150	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_180d_Rep1_01-180	S1	180	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_210d_Rep1_01-210	S1	210	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_21d_Rep1_01-21	S1	21	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_300d_Rep1_01-300	S1	300	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_30d_Rep1_01-30	S1	30	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_330d_Rep1_01-330	S1	330	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_360d_Rep1_01-360	S1	360	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_390d_Rep1_01-390	S1	390	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_420d_Rep1_01-420	S1	420	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_450d_Rep1_01-450	S1	450	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_45d_Rep1_01-45	S1	45	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_490d_Rep1_01-490	S1	490	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_504d_Rep1_01-504	S1	504	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_520d_Rep1_01-520	S1	520	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_60d_Rep1_01-60	S1	60	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_75d_Rep1_01-75	S1	75	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_7d_Rep1_01-7	S1	7	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scWim_90d_Rep1_01-90	S1	90	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scAem_plus10d_Rep1_01-plus10	S1	530	Post-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scAem_plus3mon_Rep1_01-plus3m	S1	610	Post-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S1_scAem_plus6mon_Rep1_01-plus6m	S1	700	Post-Mission	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_120d_Rep2_02-120	S2	120	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_14d_Rep2_02-14	S2	14	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_150d_Rep2_02-150	S2	150	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_180d_Rep2_02-180	S2	180	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_1d_Rep1_02-1	S2	1	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_210d_Rep2_02-210	S2	210	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_21d_Rep2_02-21	S2	21	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_270d_Rep1_02-270	S2	270	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_300d_Rep2_02-300	S2	300	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_30d_Rep2_02-30	S2	30	Early	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_330d_Rep2_02-330	S2	330	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_240d_Rep1_02-240	S2	240	Mid	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_360d_Rep2_02-360	S2	360	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_390d_Rep2_02-390	S2	390	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_420d_Rep2_02-420	S2	420	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
16S_FCS_Hsap_S2_scWim_450d_Rep2_02-450	S2	450	Late	GLDS-191_GAmplicon_ASVs.fasta, GLDS-191_GAmplicon_counts.tsv, GLDS-191_GAmplicon_read-count-tracking.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.biom.zip, GLDS-191_GAmplicon_taxonomy.tsv, GLDS-191_GAmplicon_taxonomy-and-counts.tsv
