sample	cutadapt_trimmed	dada2_filtered
16S_FCS_Hsap_S1_scAem_plus10d_Rep1_01-plus10	156785	55524
16S_FCS_Hsap_S1_scAem_plus3mon_Rep1_01-plus3m	90601	34738
16S_FCS_Hsap_S1_scAem_plus6mon_Rep1_01-plus6m	112473	41270
16S_FCS_Hsap_S1_scWim_120d_Rep1_01-120	139641	54342
16S_FCS_Hsap_S1_scWim_14d_Rep1_01-14	159239	57538
16S_FCS_Hsap_S1_scWim_150d_Rep1_01-150	67657	25139
16S_FCS_Hsap_S1_scWim_180d_Rep1_01-180	59539	23134
16S_FCS_Hsap_S1_scWim_210d_Rep1_01-210	72087	27302
16S_FCS_Hsap_S1_scWim_21d_Rep1_01-21	209170	77060
16S_FCS_Hsap_S1_scWim_300d_Rep1_01-300	125246	44061
16S_FCS_Hsap_S1_scWim_30d_Rep1_01-30	189895	67754
16S_FCS_Hsap_S1_scWim_330d_Rep1_01-330	77757	29242
16S_FCS_Hsap_S1_scWim_360d_Rep1_01-360	80473	29281
16S_FCS_Hsap_S1_scWim_390d_Rep1_01-390	60598	20844
16S_FCS_Hsap_S1_scWim_420d_Rep1_01-420	210210	76683
16S_FCS_Hsap_S1_scWim_450d_Rep1_01-450	182999	64149
16S_FCS_Hsap_S1_scWim_45d_Rep1_01-45	95076	34190
16S_FCS_Hsap_S1_scWim_490d_Rep1_01-490	165139	60602
16S_FCS_Hsap_S1_scWim_504d_Rep1_01-504	163308	58861
16S_FCS_Hsap_S1_scWim_520d_Rep1_01-520	129740	50420
16S_FCS_Hsap_S1_scWim_60d_Rep1_01-60	132013	44102
16S_FCS_Hsap_S1_scWim_75d_Rep1_01-75	117217	43389
16S_FCS_Hsap_S1_scWim_7d_Rep1_01-7	146155	52717
16S_FCS_Hsap_S1_scWim_90d_Rep1_01-90	163913	59418
16S_FCS_Hsap_S2_scAem_plus10d_Rep2_02-plus10	87985	30469
16S_FCS_Hsap_S2_scAem_plus3mon_Rep2_02-plus3m	119336	41849
16S_FCS_Hsap_S2_scAem_plus6mon_Rep2_02-plus6m	128837	46652
16S_FCS_Hsap_S2_scWim_120d_Rep2_02-120	101027	39259
16S_FCS_Hsap_S2_scWim_14d_Rep2_02-14	104753	27871
16S_FCS_Hsap_S2_scWim_150d_Rep2_02-150	136711	51010
16S_FCS_Hsap_S2_scWim_180d_Rep2_02-180	125265	43936
16S_FCS_Hsap_S2_scWim_1d_Rep1_02-1	62806	22497
16S_FCS_Hsap_S2_scWim_210d_Rep2_02-210	131845	48132
16S_FCS_Hsap_S2_scWim_21d_Rep2_02-21	80556	29812
16S_FCS_Hsap_S2_scWim_240d_Rep1_02-240	142469	47404
16S_FCS_Hsap_S2_scWim_270d_Rep1_02-270	123065	45096
16S_FCS_Hsap_S2_scWim_300d_Rep2_02-300	98137	36139
16S_FCS_Hsap_S2_scWim_30d_Rep2_02-30	45532	2176
16S_FCS_Hsap_S2_scWim_330d_Rep2_02-330	90641	28243
16S_FCS_Hsap_S2_scWim_360d_Rep2_02-360	112541	38832
16S_FCS_Hsap_S2_scWim_390d_Rep2_02-390	156113	54052
16S_FCS_Hsap_S2_scWim_420d_Rep2_02-420	185455	64191
16S_FCS_Hsap_S2_scWim_450d_Rep2_02-450	124307	41261
16S_FCS_Hsap_S2_scWim_45d_Rep2_02-45	105483	36409
16S_FCS_Hsap_S2_scWim_490d_Rep2_02-490	131969	47645
