sample	raw_reads	cutadapt_trimmed
16S_FCS_Hsap_S1_scAem_plus10d_Rep1_01-plus10	167346	156785
16S_FCS_Hsap_S1_scAem_plus3mon_Rep1_01-plus3m	96775	90601
16S_FCS_Hsap_S1_scAem_plus6mon_Rep1_01-plus6m	120341	112473
16S_FCS_Hsap_S1_scWim_120d_Rep1_01-120	150864	139641
16S_FCS_Hsap_S1_scWim_14d_Rep1_01-14	170370	159239
16S_FCS_Hsap_S1_scWim_150d_Rep1_01-150	72909	67657
16S_FCS_Hsap_S1_scWim_180d_Rep1_01-180	64838	59539
16S_FCS_Hsap_S1_scWim_210d_Rep1_01-210	77848	72087
16S_FCS_Hsap_S1_scWim_21d_Rep1_01-21	225212	209170
16S_FCS_Hsap_S1_scWim_300d_Rep1_01-300	136984	125246
16S_FCS_Hsap_S1_scWim_30d_Rep1_01-30	203020	189895
16S_FCS_Hsap_S1_scWim_330d_Rep1_01-330	83993	77757
16S_FCS_Hsap_S1_scWim_360d_Rep1_01-360	87259	80473
16S_FCS_Hsap_S1_scWim_390d_Rep1_01-390	67902	60598
16S_FCS_Hsap_S1_scWim_420d_Rep1_01-420	224750	210210
16S_FCS_Hsap_S1_scWim_450d_Rep1_01-450	195334	182999
16S_FCS_Hsap_S1_scWim_45d_Rep1_01-45	102454	95076
16S_FCS_Hsap_S1_scWim_490d_Rep1_01-490	177671	165139
16S_FCS_Hsap_S1_scWim_504d_Rep1_01-504	174234	163308
16S_FCS_Hsap_S1_scWim_520d_Rep1_01-520	139070	129740
16S_FCS_Hsap_S1_scWim_60d_Rep1_01-60	140948	132013
16S_FCS_Hsap_S1_scWim_75d_Rep1_01-75	125468	117217
16S_FCS_Hsap_S1_scWim_7d_Rep1_01-7	156676	146155
16S_FCS_Hsap_S1_scWim_90d_Rep1_01-90	175030	163913
16S_FCS_Hsap_S2_scAem_plus10d_Rep2_02-plus10	95234	87985
16S_FCS_Hsap_S2_scAem_plus3mon_Rep2_02-plus3m	130064	119336
16S_FCS_Hsap_S2_scAem_plus6mon_Rep2_02-plus6m	140819	128837
16S_FCS_Hsap_S2_scWim_120d_Rep2_02-120	109035	101027
16S_FCS_Hsap_S2_scWim_14d_Rep2_02-14	116645	104753
16S_FCS_Hsap_S2_scWim_150d_Rep2_02-150	148228	136711
16S_FCS_Hsap_S2_scWim_180d_Rep2_02-180	135008	125265
16S_FCS_Hsap_S2_scWim_1d_Rep1_02-1	68346	62806
16S_FCS_Hsap_S2_scWim_210d_Rep2_02-210	143144	131845
16S_FCS_Hsap_S2_scWim_21d_Rep2_02-21	88314	80556
16S_FCS_Hsap_S2_scWim_240d_Rep1_02-240	153566	142469
16S_FCS_Hsap_S2_scWim_270d_Rep1_02-270	133809	123065
16S_FCS_Hsap_S2_scWim_300d_Rep2_02-300	108014	98137
16S_FCS_Hsap_S2_scWim_30d_Rep2_02-30	53013	45532
16S_FCS_Hsap_S2_scWim_330d_Rep2_02-330	100809	90641
16S_FCS_Hsap_S2_scWim_360d_Rep2_02-360	124391	112541
16S_FCS_Hsap_S2_scWim_390d_Rep2_02-390	172467	156113
16S_FCS_Hsap_S2_scWim_420d_Rep2_02-420	203548	185455
16S_FCS_Hsap_S2_scWim_450d_Rep2_02-450	135717	124307
16S_FCS_Hsap_S2_scWim_45d_Rep2_02-45	115436	105483
16S_FCS_Hsap_S2_scWim_490d_Rep2_02-490	144856	131969
16S_FCS_Hsap_S2_scWim_504d_Rep2_02-504	128450	117147
16S_FCS_Hsap_S2_scWim_520d_Rep2_02-520	169352	157154
16S_FCS_Hsap_S2_scWim_60d_Rep2_02-60	103155	93614
16S_FCS_Hsap_S2_scWim_7d_Rep2_02-7	104076	95434
16S_FCS_Hsap_S2_scWim_90d_Rep2_02-90	89565	79954
16S_FCS_Hsap_S3_scAem_plus10d_Rep3_03-plus10	265708	249241
16S_FCS_Hsap_S3_scAem_plus3mon_Rep3_03-plus3m	291717	273436
16S_FCS_Hsap_S3_scAem_plus6mon_Rep3_03-plus6m	237264	222919
16S_FCS_Hsap_S3_scBem_minus10d_Rep1_03-minus10	219861	203529
16S_FCS_Hsap_S3_scWim_120d_Rep3_03-120	108923	101217
16S_FCS_Hsap_S3_scWim_14d_Rep3_03-14	231515	215641
16S_FCS_Hsap_S3_scWim_150d_Rep3_03-150	126792	118444
16S_FCS_Hsap_S3_scWim_180d_Rep3_03-180	78444	73026
16S_FCS_Hsap_S3_scWim_1d_Rep2_03-1	227207	210836
16S_FCS_Hsap_S3_scWim_210d_Rep3_03-210	76218	70878
16S_FCS_Hsap_S3_scWim_21d_Rep3_03-21	142998	132678
16S_FCS_Hsap_S3_scWim_240d_Rep2_03-240	261799	245848
16S_FCS_Hsap_S3_scWim_270d_Rep2_03-270	211124	197955
16S_FCS_Hsap_S3_scWim_300d_Rep3_03-300	207611	193977
16S_FCS_Hsap_S3_scWim_30d_Rep3_03-30	166292	154155
16S_FCS_Hsap_S3_scWim_330d_Rep3_03-330	165410	155466
16S_FCS_Hsap_S3_scWim_360d_Rep3_03-360	121262	113774
16S_FCS_Hsap_S3_scWim_390d_Rep3_03-390	147011	138409
16S_FCS_Hsap_S3_scWim_420d_Rep3_03-420	128636	121107
16S_FCS_Hsap_S3_scWim_450d_Rep3_03-450	113069	106144
