feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.Clostridium..innocuum.group	Phase	Late	-2.88104531005192	0.365427980422037	46	11	1.27290589966306e-09	1.59113237457882e-07
ASV_37	Phase	Late	4.09265555694998	0.698869692904436	46	42	7.79822763464231e-07	4.2755707121937e-05
Family.XIII.AD3011.group	Phase	Late	1.86842525446328	0.323255608172392	46	44	1.02613697092649e-06	4.2755707121937e-05
Bifidobacterium	Phase	Late	3.50948212350804	0.671280269415411	46	45	5.95971145236441e-06	0.00014899278630911
Escherichia.Shigella	Phase	Late	-4.06569332475809	0.770139782493241	46	29	5.13352181823402e-06	0.00014899278630911
Coprococcus	Phase	Late	2.41485165112477	0.470608150222579	46	45	8.03499852728974e-06	0.00016739580265187
Lachnospiraceae.FCS020.group	Phase	Late	2.19430124106133	0.489833559200285	46	42	6.21031928466195e-05	0.00110898558654678
X.Ruminococcus..torques.group	Phase	Late	2.91874150820892	0.684751913146138	46	44	0.000121585764657344	0.001899777572771
ASV_26	Phase	Late	2.67996197358866	0.662362388086249	46	45	0.000229747745482088	0.00319094090947344
Blautia	Phase	Late	2.16801470838007	0.544617334314512	46	35	0.000288555850187505	0.00360694812734381
Colidextribacter	Phase	Late	1.74119109858099	0.455777093560194	46	43	0.000463901787982854	0.00527161122707788
Bacteroides	Phase	Late	-2.50030269105336	0.669670403860356	46	45	0.000597441268873784	0.00574462758532485
Parabacteroides	Phase	Late	-2.2283981274125	0.594946441208307	46	30	0.000577253229020061	0.00574462758532485
ASV_603	Phase	Late	-1.859892829265	0.503721986818605	46	24	0.000669331365908545	0.00597617290989772
Erysipelatoclostridium	Phase	Late	-1.66208938843469	0.46707986269427	46	37	0.000997431900130611	0.00831193250108843
Erysipelotrichaceae.UCG.003	Phase	Late	2.36445799266535	0.677359519389299	46	45	0.00119993751796922	0.00937451185913457
Faecalibacterium	Phase	Late	-1.53805060512833	0.449159389974614	46	46	0.00140686867739331	0.010344622627892
Paraprevotella	Phase	Late	-1.81001805140352	0.536185387749988	46	16	0.00166865576649628	0.0115878872673353
Moryella	Phase	Late	1.58291199842509	0.509671046631012	46	36	0.00350879211142832	0.0230841586278179
DTU089	Phase	Late	-1.80225501313392	0.589681138128407	46	29	0.00400630038296107	0.0250393773935067
