feature	ASV_1	Subdoligranulum	ASV_3	Faecalibacterium	Bifidobacterium	Akkermansia	Escherichia.Shigella	Ruminococcus	Bacteroides	Monoglobus	X.Ruminococcus..torques.group	Anaerostipes	ASV_26	Erysipelotrichaceae.UCG.003	Dialister	Streptococcus	Phascolarctobacterium	ASV_37	Tyzzerella	CAG.56	Alistipes	Coprococcus	ASV_46	ASV_47	X.Eubacterium..hallii.group	Lachnospiraceae.NC2004.group	NK4A214.group	Lachnospiraceae.ND3007.group	Butyricicoccus	Romboutsia	Lachnospira	Christensenellaceae.R.7.group	Lachnoclostridium	ASV_102	UCG.002	X.Eubacterium..siraeum.group	Collinsella	Colidextribacter	Prevotella	X.Eubacterium..ventriosum.group	Lachnospiraceae.NK4A136.group	ASV_138	X.Eubacterium..ruminantium.group	Clostridium.sensu.stricto.1	X.Eubacterium..eligens.group	Lachnospiraceae.FCS020.group	Intestinimonas	Barnesiella	Blautia	Erysipelatoclostridium	Moryella	Roseburia	Intestinibacter	ASV_191	Paraprevotella	Eggerthella	Defluviitaleaceae.UCG.011	Lachnospiraceae.UCG.001	X.Eubacterium..xylanophilum.group	Parabacteroides	UCG.005	Oscillibacter	ASV_257	UBA1819	Lachnospiraceae.UCG.008	Bilophila	Senegalimassilia	CAG.352	Family.XIII.AD3011.group	DTU089	Butyricimonas	ASV_318	Enterococcus	Lachnospiraceae.UCG.010	Negativibacillus	Odoribacter	Holdemania	Flavonifractor	Veillonella	Sutterella	ASV_400	UCG.009	Turicibacter	Lactococcus	Parasutterella	GCA.900066575	Hungatella	ASV_450	UCG.003	Family.XIII.UCG.001	ASV_491	Gordonibacter	ASV_510	Frisingicoccus	Methanobrevibacter	Shuttleworthia	Oribacterium	X.Clostridium..innocuum.group	Parvimonas	ASV_603	Papillibacter	X.Eubacterium..brachy.group	ASV_657	X.Eubacterium..fissicatena.group	Catenibacillus	ASV_684	Fournierella	Pseudoflavonifractor	Gemella	ASV_765	Candidatus.Soleaferrea	Oscillospira	Christensenella	Enteroscipio	Eisenbergiella	Coprobacter	TM7x	Actinomyces	Solobacterium	Atopobium	Rothia	ASV_1004	Paludicola	Anaerofilum	X.Eubacterium..nodatum.group
16S_FCS_Hsap_S1_scWim_360d_Rep1_01-360	4.48415747397311	4.78567009240283	3.66212646918519	4.09653495333284	2.75046180569982	4.59588355592131	-1.42392546419582	4.32227772634433	4.83326308176149	3.09241350808566	1.89026054047671	2.07258209727066	4.40502015341439	0.716140699300452	-2.81021982531571	1.19711335991676	3.8567369671135	4.57934412836193	1.08160047279492	-2.81021982531571	4.53965387942263	4.07733274634891	5.26691681322274	3.53013947841204	0.185512448238282	1.91716799339663	3.26742241803332	-2.81021982531571	0.853341820813937	-0.325313175527709	1.76449115318767	3.86937936052867	1.84374052484181	4.30860642374637	3.69556423481252	-2.81021982531571	2.36592990725812	0.134219153850731	-2.81021982531571	-1.20078191288161	-2.81021982531571	2.18699244844841	-2.81021982531571	-1.42392546419582	-2.81021982531571	-0.245270467854173	3.54240957100386	2.46277973324804	-1.7116075366476	0.234302612407714	-0.61299524797949	-0.325313175527709	-2.11707264475576	-1.20078191288161	-1.20078191288161	-2.11707264475576	1.5072682882206	-2.81021982531571	0.0229935187405066	1.85321926879636	0.827366334410676	1.93471230304754	1.4092878798604	-0.102169624213499	-0.507634732321664	2.31374415408755	0.521984684859494	-2.81021982531571	0.521984684859494	0.32527439061344	-0.102169624213499	2.5127901538227	-2.81021982531571	-0.171162495700451	2.00196453005671	-0.0376311030759282	-0.864309676260396	-1.20078191288161	-2.81021982531571	-0.61299524797949	-0.245270467854173	1.84374052484181	-2.81021982531571	-2.81021982531571	0.745128236173704	-2.81021982531571	0.280822628042606	-0.245270467854173	-2.81021982531571	-0.61299524797949	-2.81021982531571	-1.20078191288161	0.48561704068862	-2.81021982531571	-0.61299524797949	-0.507634732321664	-2.81021982531571	-2.81021982531571	-2.81021982531571	-2.81021982531571	-1.20078191288161	-2.81021982531571	0.557076004670765	-2.81021982531571	-0.245270467854173	1.84374052484181	-2.81021982531571	-0.730778283635873	-2.81021982531571	-2.81021982531571	-0.61299524797949	-1.20078191288161	-2.81021982531571	-2.81021982531571	-1.20078191288161	-1.7116075366476	-2.81021982531571	-1.42392546419582	-2.81021982531571	-2.81021982531571	-2.81021982531571	-0.730778283635873	-1.42392546419582	-2.81021982531571	-1.01846035608765
16S_FCS_Hsap_S1_scWim_390d_Rep1_01-390	4.23627857886589	3.63762224172686	3.98275542522542	3.39794938846144	2.35996172160977	4.19018747166562	-1.32054948283365	3.45576895935027	3.65848047184727	3.28794849324711	-0.0212664987033916	2.37662877409498	4.7631903403835	0.625360666221661	-2.41916177150176	0.353426950738019	3.95245007573009	5.15282667787568	0.288888429600448	-2.41916177150176	3.98936701955774	2.47118735671999	5.40007268235731	5.31013390280872	0.353426950738019	1.87129766964663	2.3344284196046	-0.627402302273707	0.948134058484712	-2.41916177150176	1.1071987531144	3.24379870863418	2.63069423574777	4.45813429999567	3.07800645379144	-2.41916177150176	2.18600841448633	1.01482543298338	-2.41916177150176	-1.32054948283365	-2.41916177150176	2.91355702176361	-2.41916177150176	-2.41916177150176	-2.41916177150176	-0.0212664987033916	4.10440053464775	1.16435716695435	-2.41916177150176	0.576570502052229	-0.809723859067662	-0.627402302273707	-2.41916177150176	1.3420383441918	-2.41916177150176	-0.627402302273707	2.09169773501509	-2.41916177150176	0.982035610160393	0.288888429600448	1.24439987462788	2.76822403433899	1.04657413129796	-0.627402302273707	-0.809723859067662	1.8149447330955	0.414051572554454	-2.41916177150176	-0.116576678507716	1.38750071826856	-0.809723859067662	2.82258524355788	-2.41916177150176	-1.72601459094182	2.44065063285991	-0.809723859067662	-0.627402302273707	-0.221937194165543	-2.41916177150176	-2.41916177150176	-0.473251622446449	1.55113014205036	-2.41916177150176	-2.41916177150176	-0.473251622446449	-0.473251622446449	0.414051572554454	-2.41916177150176	-2.41916177150176	-2.41916177150176	-2.41916177150176	-0.627402302273707	2.29036842981057	-2.41916177150176	-2.41916177150176	-0.221937194165543	-2.41916177150176	-2.41916177150176	-0.627402302273707	-2.41916177150176	0.0657448782862382	-1.32054948283365	-1.32054948283365	-2.41916177150176	-1.03286741038187	1.07734578996472	-0.809723859067662	-0.221937194165543	-2.41916177150176	-2.41916177150176	-0.809723859067662	-0.809723859067662	-2.41916177150176	-1.72601459094182	-2.41916177150176	-2.41916177150176	-2.41916177150176	-2.41916177150176	-2.41916177150176	-1.72601459094182	-2.41916177150176	-0.627402302273707	-2.41916177150176	-1.72601459094182	-2.41916177150176
16S_FCS_Hsap_S1_scWim_420d_Rep1_01-420	4.46134549364484	4.84640844624149	3.68962033022364	4.12082598992839	2.08440183333225	4.43024804901658	1.32226178128535	3.42124791903816	5.46658925590989	3.37599986129312	-0.0417268223202419	2.4601911732943	4.44823055156701	1.03708283905169	-3.5680873469364	0.590795736423269	3.7983578013912	5.79463070546066	0.621567395090022	-3.5680873469364	4.79572153758048	4.3527223323522	5.30285651690132	4.28590574028784	0.762645993349928	1.73023001961163	4.02629389561541	-0.272250480932074	0.651420358239703	-1.48864580525657	3.05597788086349	3.14850742658457	2.36680684868318	4.13492033554283	3.39604826548184	-3.5680873469364	2.07735955070683	1.11404388018782	-2.87494016637646	0.0428305657078211	-0.795498624696622	2.19710375584844	-3.5680873469364	-3.5680873469364	-3.5680873469364	0.120792107177533	3.72220553551019	3.04931563103807	-1.48864580525657	0.575047379455129	-1.0831806971484	-0.929030017321145	-3.5680873469364	-0.929030017321145	-0.623648367769963	-1.77632787770835	1.47533776998284	-3.5680873469364	1.15041152435869	1.15930047177594	0.975207435333601	2.06312443488496	2.06312443488496	-0.309990808914921	-0.623648367769963	1.83459003493588	1.01688013173417	-3.5680873469364	-0.349211522068203	0.694592530104912	1.21940439584564	2.69911320160496	-3.5680873469364	-0.349211522068203	1.24409700843601	0.323732951174223	-1.9586494345023	-0.390033516588458	-3.5680873469364	0.402204566615719	-0.432593131007254	0.708578772079652	-3.5680873469364	-3.5680873469364	0.964512146216853	-1.17019207413803	-1.17019207413803	-1.0831806971484	-3.5680873469364	-1.77632787770835	-3.5680873469364	-1.62217719788109	2.05231351878075	-3.5680873469364	-0.795498624696622	0.0694988127899825	-3.5680873469364	-3.5680873469364	-3.5680873469364	-2.46947505826829	-0.677715589040239	-1.77632787770835	0.575047379455129	-1.0831806971484	-0.272250480932074	2.00025715682469	-1.37086276960018	-0.52356490921298	-3.5680873469364	-3.5680873469364	-1.77632787770835	-0.572355073382412	-3.5680873469364	-1.26550225394236	-1.00313798947487	-0.52356490921298	-1.62217719788109	-1.62217719788109	-3.5680873469364	-3.5680873469364	-3.5680873469364	-1.62217719788109	-1.37086276960018	-0.52356490921298	-1.9586494345023
16S_FCS_Hsap_S1_scWim_450d_Rep1_01-450	4.89942593069399	4.83082479194813	3.52898426166675	4.2282161789968	1.98759981247766	5.24755023153908	-3.44174581647678	4.50345531593598	4.82158685096319	3.27847433865852	0.490079816247549	3.11218758754903	4.55558100652132	1.13296516202661	-3.44174581647678	0.408401785233282	4.00425568184734	4.21269740999334	1.28564200223556	-3.44174581647678	3.99840086418591	4.42036639518597	5.67636961145689	4.07794658763976	1.02416230217781	1.815749555551	3.47496920387683	0.940280818197105	1.47823510935135	-3.44174581647678	3.06254235705987	3.94037854926074	2.80629705803165	4.57490206058103	3.10072614403003	1.27675305481832	2.02208598854883	1.32042811832098	-3.44174581647678	-0.00775861199163048	-1.36230427479694	2.08768327103465	-3.44174581647678	-3.44174581647678	-1.64998634724872	-0.397223378753354	4.0510144844456	2.36338915243971	-2.74859863591683	-0.802688486861518	0.45007448163385	0.583605874258372	-3.44174581647678	-3.44174581647678	0.806749425572582	-3.44174581647678	1.22169327763529	-1.83230790404268	1.88126416266163	0.834920302539279	0.848713624671614	1.87637417736744	1.67024197187977	-0.306251600547627	-1.13916072348273	2.20370108116646	1.03559099800143	-3.44174581647678	-0.109541306301573	0.0239900863229498	0.45007448163385	2.07570707998793	-3.44174581647678	0.762946802914189	0.902059605376907	0.195840343249609	-0.802688486861518	-0.145908950472448	-3.44174581647678	1.18322699680749	-0.00775861199163048	1.43345150672437	-3.44174581647678	-3.44174581647678	1.43345150672437	-0.551374058580612	-0.669157094236996	-0.350703363118461	-3.44174581647678	-0.956839166688776	-3.44174581647678	-1.49583566742146	0.470277188951369	-3.44174581647678	-3.44174581647678	-1.24452123914056	-3.44174581647678	-3.44174581647678	-3.44174581647678	-3.44174581647678	-0.802688486861518	-1.83230790404268	0.73264145341886	-3.44174581647678	-0.306251600547627	0.0239900863229498	-2.74859863591683	-0.497306837310336	-3.44174581647678	-2.05545145535689	-0.497306837310336	-0.802688486861518	-3.44174581647678	-0.608532472420561	-1.83230790404268	-1.13916072348273	-1.49583566742146	-1.49583566742146	-3.44174581647678	-3.44174581647678	-1.64998634724872	-1.83230790404268	-2.05545145535689	-1.49583566742146	-1.04385054367841
16S_FCS_Hsap_S1_scWim_490d_Rep1_01-490	4.89023606195435	4.9850199655267	4.4608195918854	3.96658053355293	-0.0676601045994612	4.33005169570779	-1.98458271678152	2.86588382516191	5.25807213426151	2.50405365295062	2.67507565449064	2.48819828116082	4.52567562374163	1.49972957159114	-3.59402062921562	1.2181637261568	3.95769158613569	4.6656963318059	1.14217781917887	-3.59402062921562	4.22078280027374	3.86069932014838	4.34656319788862	3.09184031785274	0.625487075960484	1.64772638584402	3.36157197918067	1.12447824207947	1.59336517662513	-3.59402062921562	2.56718669247945	3.66930898826121	2.20203712154975	4.34834160845871	3.75521019539771	-2.90087344865568	1.19347111356642	1.49972957159114	-2.49540834054751	-0.261816119040419	-1.29143553622158	2.30313323842112	-3.59402062921562	-0.502978175857307	-1.10911397942762	0.16717948647794	2.46041871705375	2.58599602443695	-1.98458271678152	0.449030638618928	0.710044463988547	0.483516814690097	-3.59402062921562	-0.885970428113413	0.990946849454949	-2.90087344865568	1.03095218406865	-2.20772626809573	0.949274153054381	1.01114955677247	0.949274153054381	2.2610512929868	1.4811531860182	-0.0105016907595126	0.119551437488685	1.92744028864662	0.500323933006478	-3.59402062921562	0.81269861804863	0.990946849454949	1.70928427884345	1.86556488492854	-3.59402062921562	1.98947567956608	1.91536770741235	0.277180381692268	-0.375144804347422	0.0695410169140238	-3.59402062921562	1.68409403001489	0.394963417348652	1.89491709694106	-3.59402062921562	-3.59402062921562	0.595634112810803	-0.821431906975841	-0.0105016907595126	-0.261816119040419	-1.80226115998757	-0.885970428113413	-3.59402062921562	-1.64811048016031	1.71918534982616	-3.59402062921562	-2.20772626809573	-0.885970428113413	-3.59402062921562	-3.59402062921562	-2.49540834054751	-3.59402062921562	-2.20772626809573	-3.59402062921562	0.394963417348652	-2.90087344865568	-1.10911397942762	0.98069034928776	-0.954963299600364	-0.298183763211293	-3.59402062921562	-3.59402062921562	-0.885970428113413	0.394963417348652	-3.59402062921562	-1.98458271678152	-3.59402062921562	-1.80226115998757	-3.59402062921562	-1.51457908753579	-3.59402062921562	-3.59402062921562	-2.90087344865568	-1.80226115998757	-2.49540834054751	-1.80226115998757	-1.29143553622158
16S_FCS_Hsap_S1_scWim_504d_Rep1_01-504	5.98250178485766	5.1891569907501	4.7816760432264	4.19843366409317	-0.151069778875148	4.43348945320882	-3.36994560374335	3.92985176301481	5.0573228801449	3.16964035187432	3.03197159298384	2.47069605363005	4.21279288517106	2.09811453739178	-3.36994560374335	2.72362416630179	3.57317681907608	5.23048518624294	1.67991040350619	-2.6767984231834	3.78778988050656	3.91350262501328	3.85844284783026	3.03197159298384	0.600346309808773	2.43217277163371	3.4099763037289	0.724398958478752	3.3526841911121	-3.36994560374335	3.1521471944268	3.7067082117006	2.58589176572148	3.51351698266974	2.92347367510313	-2.6767984231834	0.458695792745747	0.804441666152289	-3.36994560374335	1.59289902651656	0.740928260429963	1.3749865246199	-3.36994560374335	-3.36994560374335	0.542077401684798	0.655406086991801	0.501255407164543	2.46193687354017	-2.6767984231834	0.542077401684798	1.25502720954092	1.27444529539802	-3.36994560374335	1.3749865246199	2.11899212241334	-3.36994560374335	0.804441666152289	-3.36994560374335	2.00995174979711	1.08440169251016	1.59289902651656	0.581298114838079	0.655406086991801	-1.29050406206351	0.637387581489122	0.501255407164543	-0.151069778875148	-3.36994560374335	0.391254511950214	-0.661895402641138	1.52040352447841	1.0367736435209	-3.36994560374335	1.67991040350619	1.28401474641417	-0.151069778875148	-0.325423166019925	-0.73088827412809	-0.972050330944978	1.19440258772449	0.36772401454002	1.30288323071856	-3.36994560374335	-3.36994560374335	1.78910969547118	-0.191891773395403	-1.98365124262346	-1.42403545468804	-1.29050406206351	-0.234451387814199	-3.36994560374335	-0.73088827412809	0.213573334712762	-3.36994560374335	-2.6767984231834	-1.76050769130925	-3.36994560374335	-3.36994560374335	-3.36994560374335	-1.29050406206351	-1.0673605107493	-3.36994560374335	-0.278903150385033	-3.36994560374335	0.156414920872813	-0.972050330944978	-0.479573845847184	-0.661895402641138	-3.36994560374335	-3.36994560374335	-2.6767984231834	-1.0673605107493	-3.36994560374335	-3.36994560374335	-2.6767984231834	-1.76050769130925	-3.36994560374335	-3.36994560374335	-2.6767984231834	-2.6767984231834	-1.98365124262346	-1.98365124262346	-1.29050406206351	-2.27133331507524	-1.0673605107493
16S_FCS_Hsap_S1_scWim_520d_Rep1_01-520	5.84586103199796	4.91488906522897	5.12543943351836	5.9266623342391	2.86349198625614	-2.96250812112431	-1.57621376000442	5.46125312549937	5.11058307856884	2.32069560761368	1.28598712092505	1.72883976110483	5.40919676354332	1.62245935754626	-2.96250812112431	2.3156065381062	4.20530106319213	4.48757144868319	2.2022778527992	-2.96250812112431	4.22136259393814	4.20143856321823	4.30152202177522	2.79006451770132	0.701053525005334	3.90650632954139	2.8120434244201	-0.659923028130267	2.28976530692232	0.949514884303833	3.56691071713791	3.57273314988935	3.08486405792197	2.88969435865016	3.9341862104984	-0.397558763662776	0.775161497159055	0.701053525005334	-2.96250812112431	-0.072136363228148	0.929312176986314	0.438689260537843	-2.96250812112431	1.57009137202894	-2.96250812112431	0.988735597457115	-2.26936094056437	3.20080668291033	-1.35307020869021	-2.96250812112431	1.63261172901028	2.52642960503237	-2.96250812112431	-2.96250812112431	1.50339999753027	-2.96250812112431	1.74702208018802	-2.26936094056437	-1.35307020869021	1.36822521916202	2.08734788612522	1.58078666114569	-0.477601471336312	0.0332241524296783	0.726371332989624	-0.189919398884532	0.775161497159055	-2.96250812112431	0.333328744880016	1.02647592543996	1.83328242447243	0.128534332234003	-2.96250812112431	1.79966581367344	-1.016597972069	0.0820143165991102	0.438689260537843	-1.57621376000442	-1.8638958324562	-0.129294777068097	-2.96250812112431	-1.8638958324562	-2.96250812112431	-2.96250812112431	-0.072136363228148	0.775161497159055	-2.96250812112431	0.369696389050891	-0.659923028130267	-0.254457920022103	-1.35307020869021	-2.26936094056437	0.295588416897169	-2.96250812112431	-2.26936094056437	-2.96250812112431	-2.96250812112431	-2.96250812112431	-2.26936094056437	-2.96250812112431	-0.477601471336312	-2.96250812112431	0.369696389050891	-2.96250812112431	-0.0180691419578723	-2.96250812112431	-0.765283543788093	-0.0180691419578723	-1.17074865189626	-2.96250812112431	-1.35307020869021	-0.659923028130267	-2.96250812112431	-2.96250812112431	-2.96250812112431	0.0332241524296783	-2.96250812112431	-1.35307020869021	-1.8638958324562	-2.96250812112431	-2.96250812112431	-2.96250812112431	-2.26936094056437	-1.57621376000442	-1.57621376000442
16S_FCS_Hsap_S2_scWim_360d_Rep2_02-360	6.5673252183419	5.24776705433519	4.40576996690371	4.12636675065704	5.08596150066385	4.42568301039017	3.64523763224491	1.32353814322754	1.10912827188209	3.9461705931754	3.83299476242758	3.42037142761925	3.76664766433708	2.12467396185159	-0.773602975551692	3.84010211288624	-1.6209008359389	4.78432762209195	-1.6209008359389	1.72313813188331	1.06467650931126	4.23034333039377	4.41776531265338	2.23631393299426	3.43746586097855	1.68720612265725	2.61320566865836	-1.33321876348711	2.58379178345207	2.08450792012625	0.994058942097302	3.83868467820526	0.746222778192721	2.27091946217173	2.04266081019075	3.73253582983022	2.15568419859415	3.41821392947923	1.68720612265725	0.113700219449211	1.01815649367636	1.42362160178453	1.23173059397442	-0.0114629235047955	2.5062335491062	2.20046780122112	-0.080455794991747	-0.080455794991747	2.1088006126953	-2.71951312460701	1.7578236898712	0.113700219449211	-2.71951312460701	2.3367326807413	-2.71951312460701	-1.11007521217291	0.224925854559435	1.40762126043809	2.31092479678543	-2.71951312460701	1.92487777453437	-2.02636594404706	2.28443318133845	-2.02636594404706	0.835834936882408	-2.71951312460701	1.13063447710305	-2.71951312460701	1.35802431929871	-2.02636594404706	-2.71951312460701	1.62429229724668	-2.71951312460701	-2.71951312460701	-2.71951312460701	-0.64007158292717	-2.71951312460701	-2.71951312460701	-0.92775365537895	-1.6209008359389	0.0530755976327758	-2.71951312460701	-2.71951312460701	0.944048521522641	-2.71951312460701	-2.71951312460701	-2.71951312460701	1.79134638190984	-2.71951312460701	-0.64007158292717	-0.41692803161296	0.969366329506931	-0.522288547270786	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.71951312460701	-0.64007158292717	-2.71951312460701	-1.6209008359389	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.02636594404706	-1.6209008359389	-0.41692803161296	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.71951312460701	-2.71951312460701	-0.321617851808635	-2.71951312460701	-2.71951312460701	-0.321617851808635	-2.71951312460701	-1.6209008359389	-2.71951312460701	-2.71951312460701
16S_FCS_Hsap_S2_scWim_390d_Rep2_02-390	6.63470946086596	5.07577770084857	5.35513569721846	5.902178232957	5.35727408202597	5.14490535230742	5.98744798920914	1.25157447989143	1.49669693792442	3.41956941891271	3.351635308774	3.80217638894483	2.83853953647347	2.00752256169041	-0.657968024993007	3.90898094817489	-1.35111520555295	4.93720793069152	-2.73740956667284	0.398084649256307	1.55304987447555	3.20538980845386	3.97797381966184	3.02464181610733	3.87328647804492	2.14539235591353	0.152962191223322	-0.945650097444788	3.02464181610733	2.70500814384895	-0.434824473678798	4.3846503149563	0.353632886685473	2.09090417062946	2.26653673927262	3.72873515756478	2.18257135915528	3.87463146816025	2.09090417062946	-0.339514293874473	1.04678006724542	1.85771028346175	-0.945650097444788	-2.73740956667284	1.77344993984401	2.52008580535494	-2.73740956667284	1.13379144423505	2.52008580535494	-2.73740956667284	2.01618062443352	-0.172460209211306	-1.63879727800473	1.11273803503722	-2.73740956667284	-2.73740956667284	-0.0983522370575846	1.11273803503722	1.51108567537652	0.0958037773833728	1.63203828579418	-0.434824473678798	1.63203828579418	-2.73740956667284	-0.339514293874473	-1.63879727800473	1.58007854686347	-2.73740956667284	0.0958037773833728	-2.73740956667284	-2.73740956667284	1.93541926778906	-2.73740956667284	-1.35111520555295	-0.945650097444788	-0.79149941761753	-0.0983522370575846	-2.73740956667284	-2.73740956667284	-2.73740956667284	0.629886263313631	-1.63879727800473	-2.73740956667284	1.46728305271812	-2.73740956667284	-2.73740956667284	-2.73740956667284	1.21383415190858	-0.79149941761753	-1.12797165423874	-0.79149941761753	-0.0983522370575846	0.152962191223322	-2.73740956667284	-2.73740956667284	-2.73740956667284	-2.73740956667284	-2.73740956667284	1.04678006724542	-2.73740956667284	-2.0442623861129	-2.73740956667284	-2.73740956667284	-2.73740956667284	-2.73740956667284	-2.73740956667284	-2.73740956667284	-1.12797165423874	-0.339514293874473	-2.73740956667284	-2.0442623861129	-1.35111520555295	-2.73740956667284	-2.73740956667284	-2.73740956667284	-2.73740956667284	-2.73740956667284	-2.73740956667284	-2.73740956667284	-1.63879727800473	-0.540184989336624	-2.73740956667284	-2.73740956667284	-2.73740956667284	-1.63879727800473
16S_FCS_Hsap_S2_scWim_420d_Rep2_02-420	6.45161151841618	4.13189277570372	2.97981563913456	3.56556616182137	4.52401302970026	4.91421818133839	5.5561416835782	5.80043145797527	2.13632440686892	3.25251184035853	3.42930128230119	3.42197524220912	4.11879215165803	3.74469792324723	-3.10011755596103	4.53904361569814	-1.0206760142812	4.79903592738206	-3.10011755596103	-3.10011755596103	1.31872305183556	3.96293060742714	4.41903240170879	2.3679425851741	3.85069721248155	1.92376296488524	2.51665354170554	-0.702222283162663	2.74632121909669	1.89709471780308	1.11939014921507	3.66607415869932	-0.155678576794593	1.66205637883672	1.73616435099044	3.48743245886376	2.02978115896204	3.72207983465946	2.40927078066694	0.870174357591088	-3.10011755596103	2.41733534050367	-1.15420740690572	-3.10011755596103	2.97062017204146	2.38052136738096	-0.535168198499497	0.333869648524113	2.83741864912139	-3.10011755596103	1.08953718606539	-1.71382319484114	-0.327528833721252	0.851126162620394	-3.10011755596103	-1.71382319484114	-0.615210906173033	0.118758268907167	2.37215311771044	-0.702222283162663	2.1521558720856	-0.615210906173033	1.91051773813522	-0.00907510260271767	1.16256232108028	-3.10011755596103	1.72819618134127	0.365618346838693	2.15737781606675	-3.10011755596103	-3.10011755596103	2.59697593054437	-0.00907510260271767	-3.10011755596103	-3.10011755596103	-0.902892978624814	-0.797532462966988	-3.10011755596103	-3.10011755596103	-3.10011755596103	1.26933029650599	-3.10011755596103	-1.49067964352693	1.64481457240222	-3.10011755596103	-1.30835808673298	-3.10011755596103	1.59123032626811	-3.10011755596103	-2.00150526729292	-3.10011755596103	0.771083454946857	0.977419887944686	-3.10011755596103	-3.10011755596103	-3.10011755596103	-1.49067964352693	-3.10011755596103	1.21737055757528	-3.10011755596103	-1.15420740690572	-3.10011755596103	-1.71382319484114	-3.10011755596103	-3.10011755596103	-2.40697037540109	-0.0555951182376105	-1.49067964352693	-0.615210906173033	-3.10011755596103	-3.10011755596103	-0.902892978624814	-3.10011755596103	-3.10011755596103	-3.10011755596103	-1.30835808673298	-0.702222283162663	-1.30835808673298	-3.10011755596103	-1.71382319484114	-1.15420740690572	-3.10011755596103	-3.10011755596103	-3.10011755596103	-1.49067964352693
