ASV_1	Subdoligranulum	ASV_3	Faecalibacterium	Bifidobacterium	Akkermansia	Escherichia-Shigella	Ruminococcus	Bacteroides	Monoglobus	[Ruminococcus] torques group	Anaerostipes	ASV_26	Catenibacterium	Erysipelotrichaceae UCG-003	Dialister	Streptococcus	Phascolarctobacterium	ASV_37	Tyzzerella	CAG-56	Alistipes	Coprococcus	ASV_46	ASV_47	[Eubacterium] hallii group	Lachnospiraceae NC2004 group	NK4A214 group	Holdemanella	Lachnospiraceae ND3007 group	Butyricicoccus	Romboutsia	Lachnospira	Christensenellaceae R-7 group	Lachnoclostridium	ASV_102	UCG-002	[Eubacterium] siraeum group	Collinsella	Colidextribacter	Prevotella	[Eubacterium] ventriosum group	Lachnospiraceae NK4A136 group	ASV_138	[Eubacterium] ruminantium group	Clostridium sensu stricto 1	[Eubacterium] eligens group	Lachnospiraceae FCS020 group	Intestinimonas	Barnesiella	Blautia	Erysipelatoclostridium	Moryella	Roseburia	Intestinibacter	ASV_191	Paraprevotella	Eggerthella	Defluviitaleaceae UCG-011	Lachnospiraceae UCG-001	[Eubacterium] xylanophilum group	Parabacteroides	UCG-005	Oscillibacter	ASV_257	UBA1819	Lachnospiraceae UCG-008	Slackia	Bilophila	Prevotellaceae NK3B31 group	Senegalimassilia	CAG-352	Family XIII AD3011 group	DTU089	Butyricimonas	Howardella	ASV_318	Enterococcus	ASV_332	Lachnospiraceae UCG-010	Negativibacillus	Odoribacter	Megamonas	Holdemania	Flavonifractor	Veillonella	ASV_377	Sutterella	ASV_400	UCG-009	Turicibacter	Lactococcus	Parasutterella	GCA-900066575	Hungatella	ASV_450	UCG-003	Family XIII UCG-001	ASV_491	Gordonibacter	ASV_510	Frisingicoccus	Methanobrevibacter	Sellimonas	Terrisporobacter	Lachnospiraceae UCG-004	Marvinbryantia	ASV_562	Shuttleworthia	Oribacterium	[Clostridium] innocuum group	Parvimonas	ASV_603	Papillibacter	Faecalitalea	[Eubacterium] brachy group	ASV_657	[Eubacterium] fissicatena group	Agathobacter	Catenibacillus	ASV_684	Haemophilus	Fournierella	Pseudoflavonifractor	Gemella	ASV_765	Candidatus Soleaferrea	Oscillospira	Christensenella	Enteroscipio	Eisenbergiella	Coprobacter	TM7x	Actinomyces	Solobacterium	Atopobium	Rothia	ASV_1004	Paludicola	Anaerofilum	[Eubacterium] nodatum group
16S_FCS_Hsap_S1_scWim_360d_Rep1_01-360	1471	1989	646	998	259	1645	3	1251	2086	365	109	131	1359	0	33	0	54	785	1618	48	0	1555	979	3219	566	19	112	435	0	0	38	11	96	795	104	1234	668	0	176	18	0	4	0	147	0	3	0	12	573	194	2	20	8	11	1	4	4	1	74	0	16	105	37	114	67	14	9	0	167	0	27	0	27	22	14	127	204	0	0	13	122	15	0	6	4	0	0	8	12	104	0	0	34	0	21	12	0	8	0	4	26	0	8	0	0	0	0	0	9	0	0	0	0	4	0	0	28	0	0	12	104	0	0	7	0	0	8	4	0	0	4	2	0	3	0	0	0	7	3	0	5
16S_FCS_Hsap_S1_scWim_390d_Rep1_01-390	776	426	602	335	118	741	2	355	435	300	10	120	1315	0	20	0	15	584	1942	14	0	606	132	2487	2273	15	72	115	0	5	28	0	33	287	155	969	243	0	99	30	0	2	0	206	0	0	0	10	680	35	0	19	4	5	0	42	0	5	90	0	29	14	38	178	31	5	4	0	68	0	16	0	9	44	4	36	188	0	0	1	128	4	0	5	8	0	0	0	6	52	0	0	6	6	16	0	0	0	0	5	110	0	0	0	0	0	0	0	8	0	0	5	0	11	3	2	2	0	0	3	32	0	4	8	0	0	4	4	0	1	0	0	0	0	0	1	0	5	0	1	0
16S_FCS_Hsap_S1_scWim_420d_Rep1_01-420	3069	4511	1418	2183	284	2975	132	1084	8388	1036	33	414	3029	0	99	0	63	1581	11645	65	0	4288	2753	7121	2575	75	199	1986	0	26	67	7	752	825	377	2214	1057	0	282	107	1	36	15	318	0	0	0	39	1465	747	7	62	11	13	0	13	18	5	154	0	111	112	93	278	278	25	18	0	221	0	97	0	24	70	119	147	526	0	0	24	122	48	0	4	23	0	0	52	22	71	0	0	92	10	10	11	0	5	0	6	275	0	15	0	0	0	0	0	37	0	0	0	2	17	0	5	62	11	2	26	261	0	8	20	0	0	5	19	0	9	12	20	6	6	0	0	0	6	8	20	4
16S_FCS_Hsap_S1_scWim_450d_Rep1_01-450	4192	3914	1064	2142	227	5938	0	2821	3878	828	50	701	2972	0	96	0	46	1712	2109	112	0	1702	2596	9118	1843	86	191	1008	0	79	136	0	667	1606	516	3030	693	111	235	116	0	30	7	251	0	0	5	20	1794	331	1	13	48	55	0	0	69	0	105	4	204	71	72	203	165	22	9	0	282	0	87	0	27	31	48	104	248	0	0	66	76	37	0	13	26	0	0	101	30	130	0	0	130	17	15	21	0	11	0	6	49	0	0	0	0	20	0	0	8	0	0	0	0	13	0	4	64	0	14	22	31	1	1	18	0	3	18	13	0	16	4	9	6	6	0	0	5	4	3	6	10
16S_FCS_Hsap_S1_scWim_490d_Rep1_01-490	4837	5318	3148	1920	33	2762	4	638	6988	444	527	437	3359	0	162	0	122	1903	3864	113	0	2476	1727	2808	800	67	188	1048	0	111	178	0	473	1426	328	2813	1554	1	119	162	2	27	9	363	0	21	11	42	425	482	4	56	73	58	0	14	97	1	101	3	93	99	93	348	159	35	40	0	249	0	59	0	81	97	200	146	234	0	0	265	246	47	0	24	38	0	0	195	53	241	0	0	65	15	35	27	5	14	0	6	202	0	3	0	0	18	0	0	14	0	0	2	0	3	0	0	53	1	5	11	96	0	13	26	0	0	14	53	0	4	0	5	0	7	0	0	1	5	2	5	9
16S_FCS_Hsap_S1_scWim_504d_Rep1_01-504	11526	5213	3468	1935	24	2448	0	1479	4569	691	602	343	1963	0	236	0	442	1035	5433	155	1	1283	1455	1377	602	52	330	879	0	59	830	0	679	1183	385	975	540	1	45	64	0	142	60	114	0	0	49	55	47	340	1	49	101	103	0	114	241	0	64	0	216	85	142	51	55	7	54	0	47	0	24	0	42	14	132	151	81	0	0	155	104	24	0	20	13	10	0	95	41	106	0	0	173	23	3	6	7	22	0	13	35	0	1	0	0	54	0	0	4	0	0	0	7	9	0	0	21	0	0	33	10	3	17	14	0	0	1	9	0	0	1	4	0	0	1	1	3	3	7	2	9
16S_FCS_Hsap_S1_scWim_520d_Rep1_01-520	6689	2636	3254	7252	338	0	3	4553	3206	196	69	108	4322	0	97	0	195	1296	1719	174	0	1317	1291	1427	314	38	961	321	0	9	190	49	684	688	422	347	988	12	41	38	0	17	48	29	0	92	0	51	1	474	4	0	98	241	0	0	86	0	110	1	4	75	155	93	11	19	39	0	15	0	41	0	26	53	120	160	21	0	0	116	6	20	0	29	3	2	0	16	0	2	0	0	17	41	0	27	9	14	4	1	25	0	1	0	0	0	0	0	0	0	0	1	0	11	0	0	27	0	0	18	0	0	8	18	5	0	4	9	0	0	0	19	0	4	2	0	0	0	1	3	3
16S_FCS_Hsap_S2_scWim_360d_Rep2_02-360	10794	2884	1242	939	2453	1267	580	56	45	784	700	463	655	2072	126	6	705	2	1814	2	84	43	1042	1257	141	471	81	206	1711	3	200	121	40	704	31	146	116	633	130	462	81	16	41	62	51	14	185	136	13	13	124	0	87	16	0	156	0	4	18	61	152	0	103	1	148	1	34	0	0	0	46	0	58	1	0	0	76	0	21	0	0	7	0	0	0	5	0	2	15	0	0	38	0	0	0	90	0	7	9	39	8	0	0	0	0	0	56	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	1	2	9	0	0	0	0	0	0	0	0	10	0	0	10	0	2	0	0
16S_FCS_Hsap_S2_scWim_390d_Rep2_02-390	11755	2472	3269	5650	3276	2649	6153	53	68	471	440	691	263	2447	114	7	769	3	2152	0	22	72	380	824	317	742	131	17	628	5	317	230	9	1238	21	124	148	642	136	743	124	10	43	98	5	0	90	191	0	47	191	0	115	12	2	46	0	0	13	46	69	16	78	9	78	0	10	0	2	0	74	0	16	0	0	0	106	0	19	3	5	6	0	13	0	0	0	0	28	2	0	66	0	0	0	51	6	4	6	13	17	0	0	0	0	0	38	0	0	0	0	43	0	1	0	0	0	0	0	0	0	0	0	4	10	0	1	3	0	0	0	0	0	0	0	2	8	0	0	0	2
16S_FCS_Hsap_S2_scWim_420d_Rep2_02-420	14068	1382	436	784	2046	3023	5745	7335	187	573	684	679	1364	1680	938	0	2077	7	2694	0	0	82	1167	1842	236	1043	151	274	2329	10	345	147	67	867	18	116	125	725	168	917	246	52	0	248	6	0	432	239	12	30	378	0	65	3	15	51	0	3	11	24	237	10	190	11	149	21	70	0	0	0	124	31	191	0	0	0	297	21	7	0	0	8	0	9	0	0	0	0	78	0	4	114	0	5	0	108	0	2	0	47	58	0	0	0	0	0	81	0	0	4	0	74	0	6	0	0	3	0	0	0	1	0	20	4	11	0	0	8	0	0	0	5	10	5	0	3	6	0	0	0	4
16S_FCS_Hsap_S2_scWim_450d_Rep2_02-450	6592	813	1248	295	1344	4350	4020	235	115	888	208	28	686	1311	85	75	796	22	1024	0	128	488	2487	1664	378	33	223	729	309	8	81	9	286	2414	35	71	330	2134	18	319	626	437	0	50	244	25	378	183	0	14	132	0	47	27	0	159	0	0	48	83	218	5	132	9	158	0	53	0	4	0	36	12	62	3	0	0	388	0	1	1	2	14	0	0	0	20	0	0	0	1	4	0	0	4	0	4	0	4	0	11	28	0	0	0	0	4	46	0	0	0	0	25	0	9	0	0	0	0	0	0	1	0	17	1	0	0	4	1	0	0	0	0	2	0	0	3	2	0	2	0	0
