"taxon","lfc_(Intercept)","lfc_PhaseEarly","lfc_PhaseMid","lfc_PhaseLate","lfc_PhasePost-Mission","se_(Intercept)","se_PhaseEarly","se_PhaseMid","se_PhaseLate","se_PhasePost-Mission","W_(Intercept)","W_PhaseEarly","W_PhaseMid","W_PhaseLate","W_PhasePost-Mission","p_(Intercept)","p_PhaseEarly","p_PhaseMid","p_PhaseLate","p_PhasePost-Mission","q_(Intercept)","q_PhaseEarly","q_PhaseMid","q_PhaseLate","q_PhasePost-Mission","diff_(Intercept)","diff_PhaseEarly","diff_PhaseMid","diff_PhaseLate","diff_PhasePost-Mission","passed_ss_(Intercept)","passed_ss_PhaseEarly","passed_ss_PhaseMid","passed_ss_PhaseLate","passed_ss_PhasePost-Mission","diff_robust_(Intercept)","diff_robust_PhaseEarly","diff_robust_PhaseMid","diff_robust_PhaseLate","diff_robust_PhasePost-Mission"
"ASV_2",0.172550987442074,-0.182976651327074,-0.0411288128390307,-0.346077365279046,-0.338174517151908,1.13868878917095,1.21224169839781,1.17214618420655,1.18766654678387,1.28359147458511,0.15153480835418,-0.150940733658074,-0.0350884671154491,-0.291392702957075,-0.26345961612219,0.879752182808224,0.880220001350551,0.97205463730815,0.771143110856407,0.792548531424032,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_4",0.289554276888664,0.189285376465453,-0.352551097787855,-0.8118140631109,0.165015567245866,0.885409304088787,0.973387043520529,0.925861123481159,0.941964345729682,1.03509918836403,0.32702872620777,0.194460546527154,-0.380781835252238,-0.861830988392705,0.159420052784191,0.744090240028378,0.846071576844193,0.703889891772515,0.390120510741431,0.873546832871421,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_7",-2.60179873522876,2.08030177625472,2.96673548857526,2.71554445242864,2.39252401879887,1.18328170828917,1.28907301535974,1.21623746562813,1.24689819408742,1.33037174801341,-2.19879908309454,1.6137966984548,2.43927322781747,2.17783975091574,1.79838757277545,0.0293935839560508,0.108632097461917,0.0158603759242897,0.0309496355550862,0.0740870561749629,0.996094591923131,0.979627418401415,0.916742236829045,0.959438702207671,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_8",-1.84287229857153,1.67125558692145,1.88074732352945,2.54194501606233,0.0376078282486156,2.08418311378173,2.20465187350994,2.1481886822691,2.1626005099433,2.33320393354312,-0.884218035538945,0.758058724373889,0.875503785609205,1.17541127192695,0.0161185345644029,0.378439569738276,0.449980082223669,0.383140786928441,0.242279267338272,0.987168002737166,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_9",0.805829710541469,-0.989824146924916,-0.8394053015676,-1.1495592388931,-0.424321544692913,1.90707943811921,2.03554501296786,1.97295494414032,2.00383995820249,2.15123792676092,0.422546483609614,-0.486269839585486,-0.425455889938406,-0.57367816935056,-0.19724528812664,0.673429131984175,0.627717576788758,0.671313543260081,0.567325650166705,0.843989945358352,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_15",-0.218067805122489,0.352298244231918,0.0234683066105671,0.483833114009116,-0.00381428426003004,1.60657387352056,1.68237927155878,1.63777210462766,1.65775369323231,1.77142463469835,-0.135734689027793,0.209404769892049,0.0143294091676464,0.291860676277989,-0.00215322977072608,0.892210617042637,0.834412662794546,0.988585967879225,0.77079110550745,0.998284795906591,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_17",1.07880832687527,-0.397634705702511,-1.47836900062893,-1.43601206280929,-0.470779829242636,0.867809128304827,0.993624232214958,0.93510430216494,0.967223001727913,1.11384700313108,1.2431401003843,-0.40018619998439,-1.58096695438811,-1.48467526128298,-0.42266112663521,0.215730318751417,0.68958123601359,0.115964250844473,0.139700735912471,0.673139835035792,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_19",-0.881651948796414,0.899131601465937,0.837655653660611,1.04855213523987,0.76329175393874,1.33765517093977,1.40640499911874,1.37370638963176,1.380985027845,1.44860116934676,-0.659102560921595,0.639312006164184,0.609777795301043,0.75927842380457,0.526916428131106,0.510827178692892,0.523582281810342,0.542919495260467,0.448861914619513,0.599019768488648,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_22",0.313382619129176,-1.31073384302637,-0.119762687919008,0.248125864795204,-0.505005955241876,0.958449282105885,1.08868937083045,1.0076177339552,1.03627010195966,1.15894449781613,0.326968390482403,-1.20395576382503,-0.118857264896384,0.239441304275769,-0.435746453944505,0.744150671061813,0.230515830682193,0.90554853266491,0.81109246247735,0.663651318711802,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_24",-1.21020320966824,1.52617557243416,1.2086550985292,1.19466412125413,0.641436148794787,1.34673200682426,1.420773681896,1.37586858894681,1.39091138052887,1.47575093147382,-0.898622148679767,1.07418626335864,0.878466961335599,0.858907431471213,0.434650681978014,0.370265976798072,0.284430374826503,0.381067842037675,0.391735240838281,0.664428408635932,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_30",-1.64090205891904,1.15183106999128,1.70981392456615,1.93559140823434,1.81156004346936,1.53314857523748,1.61175427969856,1.56430600968346,1.59004551056673,1.66169043436278,-1.07028247974262,0.714644337849504,1.09301755154168,1.21731824364225,1.09019105244115,0.286270522214881,0.475977801577508,0.276198685328454,0.225460602067021,0.277437389873895,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_33",2.14235909215541,-1.94109576925767,-2.26759548767931,-2.61187453771676,-2.37977207538929,2.21340941403093,2.34171188912127,2.27427344904787,2.30149192790656,2.48983880814138,0.967900054357261,-0.828921686854513,-0.997063694618009,-1.13486148095793,-0.955793631141023,0.335808443232036,0.409443472789566,0.321530778389557,0.259586529221033,0.341855569906917,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_34",0.250163752739036,-0.648120128688274,-0.551430113125464,0.556621989712459,-0.662933128272827,1.3238560985912,1.40504097624498,1.36865736868419,1.38347426691419,1.45703215742855,0.188965970701235,-0.461282012159101,-0.402898582028314,0.402336352055173,-0.454988673306158,0.850374923360797,0.645264474465753,0.687596485578275,0.688009262067962,0.649775220949641,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_36",0.119329124214269,-0.144051206149671,-0.189978692435221,-0.326401755755009,0.114349896395913,1.75721045169673,1.87587667545836,1.81448460725522,1.84534762849977,1.992904542117,0.0679082713735556,-0.0767914053382387,-0.104701187144598,-0.1768781939587,0.057378511604195,0.945974570260711,0.938920650324013,0.916792198233465,0.8599098932819,0.954341558223592,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_38",-0.777144559018944,1.18120903795061,1.02061517273186,0.230917419515729,0.184742041261462,1.75270372464769,1.84403680696453,1.79218608598254,1.81441281855927,1.93778487758141,-0.443397562343376,0.64055610684637,0.569480580568355,0.127268401740618,0.0953367132744076,0.658198634447677,0.522913219023931,0.569990619285098,0.898920186248298,0.924190875150252,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_39",-0.238381499440693,0.141455372288524,0.302999003436102,0.0189781720068359,0.907770903465064,2.51127798812045,2.62621714609136,2.55925456684488,2.58615708185443,2.7064549373629,-0.0949243773761216,0.0538627860605717,0.118393460096331,0.00733836785862497,0.335409576170358,0.924583605294455,0.957162558688472,0.906016857268299,0.994160945801933,0.738088159248764,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_40",-0.306604928745739,0.0653154016993132,0.176549859194203,0.57060045420403,0.0995074451215108,1.32419591100014,1.41829436245645,1.36441559851144,1.39748684102044,1.52057092939378,-0.231540458778616,0.0460520773601531,0.12939595485922,0.408304706316506,0.0654408440921481,0.817225945119224,0.963332991590542,0.897226173001097,0.683660719291152,0.947914402453205,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_43",-2.61262066665532,1.59932468664363,2.90635625456342,2.99505182925828,2.79689495176686,1.28605492944752,1.37415734707915,1.32284805073061,1.34402614989055,1.43540535062743,-2.03150006024835,1.16385848392332,2.19704466658754,2.22841782468458,1.94850531283328,0.0439937236620658,0.246354206411205,0.0295723302202918,0.0273603570907851,0.0532462023374483,0.996094591923131,0.979627418401415,0.916742236829045,0.959438702207671,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_49",-0.434617970612801,0.689097817589873,0.383071188017186,0.383005102379212,0.109412218724799,1.3156594369148,1.3972334902952,1.34986871482015,1.36939379244489,1.45473239128208,-0.330342304716769,0.49318730360828,0.283784033077784,0.279689527214376,0.0752112343001946,0.741593236639226,0.622587374077464,0.776959551936159,0.780093467565389,0.940144896224104,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_50",-0.695030491242818,0.858419988382807,1.06006323729324,0.154843013212934,0.240699381421579,1.29815708340277,1.38936274823019,1.33560437426375,1.36515718106455,1.45850102338851,-0.53539783446005,0.617851593816149,0.793695541673859,0.113425043914861,0.165032027788617,0.593183844941143,0.537629182677911,0.428652017301096,0.909848343929967,0.869145502224237,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV_53",-0.844541304704069,0.138869604722243,1.02710979753278,1.13077420336829,0.610732835856168,1.93905123564392,2.04642869692578,1.98276949639519,2.00207360247121,2.11351288602427,-0.435543573671284,0.0678594885474673,0.518017752139184,0.564801514775755,0.288965749816183,0.663925130109796,0.946006787932812,0.60536891181241,0.573229126221489,0.773090125190212,0.996094591923131,0.979627418401415,0.994923398310656,0.997249052070718,0.998284795906591,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
