"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Genus"
"ASV_391",13.8784366783918,19.7680088766661,2.14849616373618,9.20085835400797,3.55101694619134e-20,4.11917965758196e-18,"Sutterella"
"ASV_268",8.14541044097368,16.344439046662,2.05371971486017,7.95845651594911,1.74198594923852e-15,1.01035185055834e-13,"Bilophila"
"ASV_274",9.82569404288365,24.5163280972208,3.76118257855969,6.51824993473439,7.11323993863521e-11,2.75045277627228e-09,"CAG-352"
"ASV_7",1537.93778244951,3.87954981165062,0.680238497821767,5.70322000897269,1.17565079564297e-08,3.40938730736462e-07,"Bifidobacterium"
"ASV_160",29.0325787851627,7.52426923481428,1.44740838297468,5.19844248749656,2.00965282491286e-07,4.66239455379783e-06,"Blautia"
"ASV_142",29.8216972453363,14.5404833989058,2.89438655179306,5.02368399614694,5.0689615698174e-07,9.79999236831365e-06,"[Eubacterium] ruminantium group"
"ASV_43",369.464253550668,3.48016676158329,0.72476332560031,4.8017975505324,1.57247630323755e-06,2.60581787393651e-05,"Coprococcus"
"ASV_46",639.685861132343,2.0283713032569,0.46588246332949,4.35382626072869,1.337817469272e-05,0.00019398353304444,NA
"ASV_278",39.1247092692492,2.92076660321574,0.678047520598243,4.30761342603059,1.65025475280682e-05,0.000212699501472879,"Family XIII AD3011 group"
"ASV_9",701.965506835899,-5.4286231079659,1.28399641392671,-4.22791142489574,2.35870605835791e-05,0.000273609902769518,"Escherichia-Shigella"
"ASV_37",1087.38849636587,4.40308951073877,1.07740786579711,4.08674342421029,4.37470455777072e-05,0.00042288810725117,NA
"ASV_400",15.1457084880108,5.94475807518044,1.44792770494429,4.10570089575652,4.03090784991134e-05,0.00042288810725117,NA
"ASV_112",58.4407056138451,2.74212675494557,0.780151028086521,3.51486655304575,0.000439975016408516,0.00392593091564522,"Collinsella"
"ASV_116",65.3507813146942,3.11547356868425,0.891984099486559,3.49274563355733,0.000478081673873279,0.00396124815495003,"Colidextribacter"
