"name","Degree","Betweenness","Community","Is_Keystone","Phase"
"ASV_113",141,513.972472355478,7,"Keystone","Early"
"ASV_188",138,1776.4268397507,5,"Keystone","Early"
"ASV_190",138,364.245495240142,7,"Keystone","Early"
"ASV_207",137,347.94779038484,7,"Keystone","Early"
"ASV_235",138,397.490398494935,7,"Keystone","Early"
"ASV_313",143,538.8966551376,7,"Keystone","Early"
"ASV_316",136,298.304146927235,7,"Keystone","Early"
"ASV_325",141,525.075305893289,7,"Keystone","Early"
"ASV_358",136,340.742604777297,7,"Keystone","Early"
"ASV_364",137,361.64086673438,7,"Keystone","Early"
"ASV_377",139,334.088666456513,7,"Keystone","Early"
"ASV_394",137,361.64086673438,7,"Keystone","Early"
"ASV_405",139,414.087798148795,7,"Keystone","Early"
"ASV_431",141,528.384838759103,7,"Keystone","Early"
"ASV_437",144,2426.96391637174,5,"Keystone","Early"
"ASV_459",141,437.941982101214,7,"Keystone","Early"
"ASV_461",138,364.245495240142,7,"Keystone","Early"
"ASV_479",136,352.822026073377,7,"Keystone","Early"
"ASV_512",141,431.798426918874,7,"Keystone","Early"
"ASV_523",137,361.64086673438,7,"Keystone","Early"
"ASV_530",137,1885.52939093276,7,"Keystone","Early"
"ASV_533",139,381.563363977005,7,"Keystone","Early"
"ASV_559",142,1151.21374728706,5,"Keystone","Early"
"ASV_573",138,364.245495240142,7,"Keystone","Early"
"ASV_586",137,361.64086673438,7,"Keystone","Early"
"ASV_591",141,3799.13731855767,5,"Keystone","Early"
"ASV_619",136,352.822026073377,7,"Keystone","Early"
"ASV_657",142,489.499638161006,7,"Keystone","Early"
"ASV_701",137,336.847823896565,7,"Keystone","Early"
"ASV_711",137,307.868814974773,7,"Keystone","Early"
"ASV_713",137,361.64086673438,7,"Keystone","Early"
"ASV_717",146,2504.81111504658,5,"Keystone","Early"
"ASV_725",136,295.827696123948,7,"Keystone","Early"
"ASV_787",137,347.94779038484,7,"Keystone","Early"
"ASV_846",137,407.316124649494,7,"Keystone","Early"
"ASV_896",137,307.868814974773,7,"Keystone","Early"
"ASV_956",137,351.942148254067,7,"Keystone","Early"
"ASV_1057",137,361.64086673438,7,"Keystone","Early"
"ASV_266",192,919.770292121943,1,"Keystone","Late"
"ASV_273",188,832.626637039948,1,"Keystone","Late"
"ASV_302",193,959.468102327374,1,"Keystone","Late"
"ASV_307",185,1546.58609001957,1,"Keystone","Late"
"ASV_312",192,828.49364950898,1,"Keystone","Late"
"ASV_336",194,970.244656022699,1,"Keystone","Late"
"ASV_391",179,1151.86554285308,1,"Keystone","Late"
"ASV_445",197,1054.72919789969,1,"Keystone","Late"
"ASV_456",196,998.917471516148,1,"Keystone","Late"
"ASV_531",192,583.69964015003,1,"Keystone","Late"
"ASV_564",193,939.441771459163,1,"Keystone","Late"
"ASV_583",197,1054.72919789969,1,"Keystone","Late"
"ASV_607",189,563.064706225654,1,"Keystone","Late"
"ASV_632",193,935.417714623687,1,"Keystone","Late"
"ASV_649",191,891.112535678887,1,"Keystone","Late"
"ASV_671",181,1653.60953540645,1,"Keystone","Late"
"ASV_726",187,559.348149615873,1,"Keystone","Late"
"ASV_743",185,807.473380460038,1,"Keystone","Late"
"ASV_746",182,478.259949518462,1,"Keystone","Late"
