"Pathway","EDF","F_stat","p_value","Dev_explained","p_adj"
"GLYCOL-GLYOXDEG-PWY",6.12796650007848,7.79809248521077,0,73.820795330319,0
"GLYOXYLATE-BYPASS",6.29999462641076,7.76535203713136,0,76.0752991980083,0
"HEME-BIOSYNTHESIS-II",5.35362661003166,8.71344770240786,0,78.9512662154197,0
"LEU-DEG2-PWY",4.4686590178612,12.3958877832267,0,50.6004191702023,0
"LPSSYN-PWY",4.54987684704892,12.5502083221489,0,80.2186012218141,0
"P105-PWY",6.19053738848892,8.35152006041924,0,71.1226539776692,0
"P125-PWY",4.25159579329388,9.82981150519211,0,40.0064429865768,0
"P221-PWY",5.76689064305466,11.6982661102823,0,64.9440964940382,0
"PWY-5531",4.78710084202827,8.59773637854912,0,39.9345332244966,0
"PWY-5532",5.63261314736192,14.1977657209169,0,66.8175247649161,0
"PWY-5918",5.44588754753349,8.50345557939805,0,78.2579867501043,0
"PWY-5920",5.4705969549001,10.3712744206298,0,73.2011405783321,0
"PWY-6122",3.82090957326891,9.91914938480793,0,56.3906824959731,0
"PWY-6277",3.82090957326891,9.91914938480793,0,56.3906824959731,0
"PWY-6397",1.00000085953327,3579.38840878617,0,-1001.84807338608,0
"PWY-6478",4.84022891546878,8.91820534410341,0,61.3297000177842,0
"PWY-6562",6.35910415681595,7.52079179708401,0,65.4285658305901,0
"PWY-6737",3.90335601700547,11.0375541167419,0,54.6287430944337,0
"PWY-7094",4.93711923537241,15.354417109683,0,53.8189675108071,0
"PWY-7159",4.78710084202827,8.59773637854912,0,39.9345332244966,0
"PWY-7431",4.47269730232783,16.8839087623709,0,39.7928828725398,0
"PWY0-1241",4.11640533265771,9.98606446973669,0,71.7275856473356,0
"THREOCAT-PWY",5.6048326721851,7.64812564900101,0,51.0804314725664,0
"ORNDEG-PWY",6.15643363686417,7.69213646931455,1.90790520437911e-07,74.1930975962358,2.95725306678762e-06
"PWY-6572",4.85387795318671,8.97314602759802,2.4455982761129e-07,55.1356286282174,3.639050234856e-06
