Label,Order,Count,Pct
Early_baseline,Lachnospirales,219,28.4
Early_baseline,Oscillospirales,211,27.3
Early_baseline,Bacteroidales,108,14.0
Early_baseline,,62,8.0
Early_baseline,Peptostreptococcales-Tissierellales,24,3.1
Early_baseline,Erysipelotrichales,23,3.0
Early_baseline,Lactobacillales,17,2.2
Early_baseline,Clostridia UCG-014,15,1.9
Early_baseline,Coriobacteriales,15,1.9
Early_baseline,Veillonellales-Selenomonadales,14,1.8
Early_baseline,Christensenellales,12,1.6
Early_baseline,Bifidobacteriales,9,1.2
Lost_Early_to_Late,Oscillospirales,45,25.4
Lost_Early_to_Late,Lachnospirales,40,22.6
Lost_Early_to_Late,Bacteroidales,33,18.6
Lost_Early_to_Late,,10,5.6
Lost_Early_to_Late,Peptostreptococcales-Tissierellales,8,4.5
Lost_Early_to_Late,Erysipelotrichales,7,4.0
Lost_Early_to_Late,Enterobacterales,4,2.3
Lost_Early_to_Late,Bifidobacteriales,4,2.3
Lost_Early_to_Late,Clostridia UCG-014,3,1.7
Lost_Early_to_Late,Veillonellales-Selenomonadales,3,1.7
Lost_Early_to_Late,Actinomycetales,3,1.7
Lost_Early_to_Late,Pasteurellales,3,1.7
Gained_Early_to_Late,Oscillospirales,108,34.7
Gained_Early_to_Late,Lachnospirales,57,18.3
Gained_Early_to_Late,,57,18.3
Gained_Early_to_Late,Clostridia UCG-014,22,7.1
Gained_Early_to_Late,Peptostreptococcales-Tissierellales,10,3.2
Gained_Early_to_Late,Monoglobales,10,3.2
Gained_Early_to_Late,Christensenellales,8,2.6
Gained_Early_to_Late,Lactobacillales,7,2.3
Gained_Early_to_Late,Erysipelotrichales,6,1.9
Gained_Early_to_Late,Burkholderiales,4,1.3
Gained_Early_to_Late,Actinomycetales,3,1.0
Gained_Early_to_Late,Bifidobacteriales,3,1.0
