"Taxon","N_Phases_Keystone","Phases","Mean_Betweenness"
"ASV_212",3,"Late, Mid, Post-Mission",6439.57398948556
"ASV_162",3,"Late, Post-Mission, Pre-Mission",6321.97248075265
"ASV_45",3,"Early, Late, Mid",6160.02866991947
"ASV_282",3,"Early, Late, Mid",4599.69998459138
"ASV_37",3,"Late, Mid, Post-Mission",4502.16357464721
"ASV_111",3,"Late, Mid, Post-Mission",4093.52947944071
"ASV_193",3,"Early, Late, Pre-Mission",3813.12530788955
"ASV_671",3,"Late, Mid, Post-Mission",2143.6384511195
"ASV_920",3,"Late, Mid, Post-Mission",1732.03432506726
"ASV_307",3,"Late, Mid, Post-Mission",1015.67491053824
"ASV_302",3,"Late, Mid, Post-Mission",967.141066632433
"ASV_456",3,"Late, Mid, Post-Mission",957.430417002484
"ASV_649",3,"Late, Mid, Post-Mission",831.518838361122
"ASV_632",3,"Late, Mid, Post-Mission",827.290932922474
"ASV_336",3,"Late, Mid, Post-Mission",706.436334666664
"ASV_738",3,"Late, Mid, Post-Mission",391.759504203818
"ASV_370",2,"Late, Mid",11034.1654949607
"ASV_65",2,"Early, Pre-Mission",7506.37352234017
"ASV_89",2,"Mid, Post-Mission",6730.86184762904
"ASV_475",2,"Early, Mid",5747.19679217942
"ASV_116",2,"Early, Mid",5688.98847730314
"ASV_530",2,"Early, Mid",5245.01951768251
"ASV_150",2,"Late, Post-Mission",5011.95534021843
"ASV_298",2,"Early, Mid",4909.18948834355
"ASV_73",2,"Early, Mid",4689.37711353308
"ASV_165",2,"Late, Post-Mission",4675.96160070431
"ASV_5",2,"Late, Pre-Mission",4511.50904153065
"ASV_196",2,"Mid, Post-Mission",4439.37454721945
"ASV_119",2,"Late, Mid",4241.72733384344
"ASV_157",2,"Late, Mid",4179.04697863568
"ASV_52",2,"Early, Pre-Mission",4096.59306442256
"ASV_215",2,"Late, Mid",4091.29079220393
"ASV_414",2,"Late, Mid",4078.40762639545
"ASV_141",2,"Late, Post-Mission",3687.34772786379
"ASV_7",2,"Early, Post-Mission",3358.5256296984
"ASV_789",2,"Late, Post-Mission",3338.82421614578
"ASV_72",2,"Late, Pre-Mission",3289.52751909264
"ASV_245",2,"Late, Post-Mission",3274.61224120488
"ASV_479",2,"Early, Late",3265.80211650343
"ASV_99",2,"Late, Post-Mission",3223.66361471284
"ASV_394",2,"Early, Late",3210.36503881818
"ASV_389",2,"Late, Post-Mission",3135.95004702047
"ASV_12",2,"Early, Post-Mission",3023.62648642283
"ASV_39",2,"Early, Pre-Mission",3013.58632043093
"ASV_17",2,"Early, Pre-Mission",2933.51224455576
"ASV_361",2,"Post-Mission, Pre-Mission",2857.52969508891
"ASV_364",2,"Early, Late",2785.83399963473
"ASV_25",2,"Mid, Pre-Mission",2764.41895587358
"ASV_235",2,"Early, Late",2641.64111014496
"ASV_4",2,"Post-Mission, Pre-Mission",2206.92293528915
"ASV_21",2,"Early, Pre-Mission",2152.64022940465
"ASV_190",2,"Early, Late",1932.80735205816
"ASV_69",2,"Post-Mission, Pre-Mission",1888.18787676482
"ASV_313",2,"Early, Post-Mission",1825.61240957012
"ASV_666",2,"Mid, Post-Mission",1580.54636534265
"ASV_331",2,"Mid, Post-Mission",1473.83090336172
"ASV_717",2,"Early, Mid",1432.61834689555
"ASV_971",2,"Late, Mid",1346.65008848579
"ASV_372",2,"Post-Mission, Pre-Mission",1263.94647130474
"ASV_377",2,"Early, Mid",1146.31386327435
"ASV_188",2,"Early, Mid",1050.6829863524
"ASV_117",2,"Mid, Post-Mission",1030.53615082861
"ASV_110",2,"Mid, Post-Mission",917.284522484508
"ASV_498",2,"Mid, Post-Mission",844.606558947787
"ASV_391",2,"Late, Mid",794.858029261578
"ASV_445",2,"Late, Post-Mission",778.115529284205
"ASV_810",2,"Late, Post-Mission",722.359360767686
"ASV_901",2,"Late, Post-Mission",672.866044141039
"ASV_564",2,"Late, Post-Mission",667.425588965575
"ASV_831",2,"Late, Post-Mission",624.637159599372
"ASV_273",2,"Late, Post-Mission",614.018021755968
"ASV_459",2,"Early, Mid",602.8535610988
"ASV_139",2,"Mid, Post-Mission",587.089707670566
"ASV_531",2,"Late, Post-Mission",530.968337003401
"ASV_461",2,"Early, Mid",491.065732140787
"ASV_347",2,"Early, Mid",423.336449188565
"ASV_265",2,"Early, Mid",356.782008679568
"ASV_405",2,"Early, Mid",348.184284076975
"ASV_358",2,"Early, Mid",326.462786231935
"ASV_76",1,"Pre-Mission",12798.2065130002
"ASV_248",1,"Mid",11492.3525234133
