"Phase","Taxon","Degree","Betweenness","Closeness","Eigenvector","Hub_Score"
"Early","ASV_132",50,8781.71977299662,0.00048828125,0.00109643862470423,0.00109643862470378
"Early","ASV_80",90,8239.29629437983,0.000524658971668416,0.552273253651541,0.552273253651541
"Early","ASV_52",42,7205.48668130881,0.000504795557799091,0.00174599123521917,0.00174599123521895
"Early","ASV_419",61,6438.9512597381,0.000570125427594071,0.0656336688890557,0.0656336688890556
"Early","ASV_97",132,6401.92435987702,0.000554631170271769,0.624662002129277,0.624662002129276
"Early","ASV_45",56,6396.58829739036,0.000518941359626362,0.00535409209940208,0.0053540920994016
"Early","ASV_475",53,6022.86153662503,0.000514933058702369,0.0574305976678831,0.0574305976678828
"Early","ASV_298",85,5881.37361884384,0.000551267916207277,0.0149237040698163,0.0149237040698161
"Early","ASV_116",63,5733.82627856992,0.000430292598967298,0.00117539518901049,0.00117539518901
"Early","ASV_206",100,5623.0903550659,0.000535045478865704,0.633614844936811,0.633614844936811
"Early","ASV_282",106,5567.72916328151,0.000549148819330038,0.5605563398072,0.5605563398072
"Early","ASV_388",50,5434.2651542276,0.000520291363163372,0.0301512658082916,0.0301512658082917
"Early","ASV_224",86,5384.04935188495,0.000505561172901921,0.637928781757332,0.637928781757333
"Early","ASV_193",36,5210.08527779721,0.000506585612968592,0.0297034558863441,0.0297034558863438
"Early","ASV_73",57,5113.25066204655,0.000513083632632119,0.032308167123285,0.0323081671232853
"Early","ASV_17",46,4920.32703620925,0.000547045951859956,0.0384123549256198,0.0384123549256199
"Early","ASV_589",52,4868.29813105826,0.000508646998982706,0.00466959686224728,0.00466959686224694
"Early","ASV_450",55,4865.28865517718,0.000507872016251904,0.256407347922581,0.256407347922581
"Early","ASV_39",76,4457.61761956693,0.000533902829684997,0.02583153659949,0.0258315365994899
"Early","ASV_703",77,4415.25965443524,0.000531067445565587,0.0155771814523797,0.0155771814523795
"Early","ASV_57",66,4350.12283297757,0.000509164969450102,0.0360027489345413,0.0360027489345414
"Early","ASV_395",101,4348.62802000193,0.000512295081967213,0.700393451029314,0.700393451029314
"Early","ASV_151",44,4292.88927910293,0.000502765208647562,0.0273744484305503,0.0273744484305499
"Early","ASV_275",40,4095.37908517815,0.00048780487804878,0.000818710220204897,0.000818710220204563
"Early","ASV_243",47,4064.5893618778,0.000492368291482029,0.00133637797451159,0.00133637797451118
"Early","ASV_65",54,3864.47934712126,0.00046339202965709,0.00123439820175513,0.00123439820175473
"Early","ASV_118",61,3863.74385536296,0.000464252553389044,0.0232342116829598,0.0232342116829594
"Early","ASV_591",141,3799.13731855767,0.000565610859728507,0.180496982001861,0.180496982001861
"Early","ASV_444",76,3623.1163007004,0.000492610837438424,0.00705606214230076,0.00705606214230066
"Early","ASV_516",67,3455.60148263163,0.000516262261228704,0.0560115569467514,0.0560115569467515
"Early","ASV_21",61,3358.58300590702,0.000504286434694907,0.00299919456353534,0.00299919456353514
"Early","ASV_7",31,3239.81828113401,0.00053134962805526,0.0419563084246787,0.0419563084246785
"Early","ASV_101",28,3223.96126950837,0.000532197977647685,0.0202622148383892,0.0202622148383892
"Early","ASV_12",28,3211.99504574651,0.000468384074941452,0.00113816899575458,0.00113816899575438
"Early","ASV_51",41,3206.15666520071,0.000499251123315027,0.00339687532429482,0.0033968753242945
"Early","ASV_420",43,3185.94144876967,0.000515463917525773,0.228113516869795,0.228113516869796
