"Phase","Threshold","N_Nodes","N_Edges","Density","N_Samples","Median_rho_all","Pct_above_thresh"
"Early",0.5,128,984,0.1211,35,0.2284,12.11
"Mid",0.5,125,471,0.0608,63,0.1914,6.08
"Late",0.5,135,967,0.1069,42,0.2327,10.69
"Post-Mission",0.5,135,1118,0.1236,15,0.2275,12.36
"Early",0.6,128,467,0.0575,35,0.2284,5.75
"Mid",0.6,125,153,0.0197,63,0.1914,1.97
"Late",0.6,135,414,0.0458,42,0.2327,4.58
"Post-Mission",0.6,135,534,0.059,15,0.2275,5.9
"Early",0.7,128,170,0.0209,35,0.2284,2.09
"Mid",0.7,125,44,0.0057,63,0.1914,0.57
"Late",0.7,135,93,0.0103,42,0.2327,1.03
"Post-Mission",0.7,135,195,0.0216,15,0.2275,2.16
"Early",0.8,128,39,0.0048,35,0.2284,0.48
"Mid",0.8,125,4,5e-04,63,0.1914,0.05
"Late",0.8,135,13,0.0014,42,0.2327,0.14
"Post-Mission",0.8,135,56,0.0062,15,0.2275,0.62
