"Pair","R2","F_stat","p_value","p_adj"
"Pre-Mission vs Early",0.0212709390169821,0.804129329559157,0.665,0.665
"Pre-Mission vs Mid",0.0223163631197388,1.48367380619328,0.069,0.115
"Pre-Mission vs Late",0.0368610833242591,1.68396026594515,0.053,0.106
"Pre-Mission vs Post-Mission",0.0718325778174405,1.31566115520946,0.155,0.172222222222222
"Early vs Mid",0.026918765566825,2.65568937409477,0.003,0.0133333333333333
"Early vs Late",0.057237373133766,4.55342931794171,0.001,0.01
"Early vs Post-Mission",0.0312391688217443,1.54783312370297,0.11,0.1375
"Mid vs Late",0.0249843969395693,2.6393350800727,0.004,0.0133333333333333
"Mid vs Post-Mission",0.0198700622248375,1.54073931515197,0.108,0.1375
"Late vs Post-Mission",0.0397569363829665,2.2771645887517,0.007,0.0175
