"Genus","log2FoldChange","padj","maaslin2_coef","maaslin2_qval","Evidence_Tier"
"CAG-352",24.5163280972208,2.75045277627228e-09,0.328078957321797,0.672853948772007,"Exploratory"
"[Eubacterium] ruminantium group",14.5404833989058,9.79999236831365e-06,0.0901027090781622,0.945597739169976,"Exploratory"
"Collinsella",2.74212675494557,0.00392593091564522,0.982302802748006,0.100718793489883,"Exploratory"
"Lachnospiraceae ND3007 group",-3.10978637275378,0.00475286461884634,-1.84582273235313,0.112999905763852,"Exploratory"
"Lachnospiraceae UCG-001",4.94859053335922,0.00655956095436869,1.00073671285482,0.180236387003008,"Exploratory"
"Roseburia",5.32956405877872,0.0115511138584575,1.20357478683663,0.156668817063254,"Exploratory"
"UCG-005",2.97270910281886,0.0120362557186699,1.09401189229799,0.11775929182022,"Exploratory"
"[Eubacterium] xylanophilum group",4.18622430866516,0.0227503561299137,1.25772972249327,0.100718793489883,"Exploratory"
"Gordonibacter",3.04609691664515,0.0477912546636501,0.676832912867197,0.336990211065925,"Exploratory"
"Akkermansia",3.95784371605085,0.0508243482574008,1.61451148318066,0.330639539175641,"Not significant"
"[Ruminococcus] torques group",2.06607486039358,0.0511845967751249,2.91874150820892,0.001899777572771,"Not significant"
NA,1.77386573360814,0.0580014888774872,NA,NA,"Not significant"
NA,2.12990482328144,0.0615723111417366,NA,NA,"Not significant"
NA,1.98950935991786,0.0817245188026243,NA,NA,"Not significant"
"Lachnospira",1.82635785365524,0.0971023552754057,0.285982482641363,0.780118815028997,"Not significant"
"Intestinimonas",3.61684695111625,0.0983724403090349,0.522977642229711,0.672853948772007,"Not significant"
"Paraprevotella",-2.73871849594612,0.109969298099254,-1.81001805140352,0.0115878872673353,"Not significant"
"GCA-900066575",-2.46933769061814,0.135139399619428,-0.845685794460695,0.210393708557278,"Not significant"
"Anaerostipes",1.43277317639735,0.140890040185072,0.656504315906529,0.368587152273863,"Not significant"
"Erysipelatoclostridium",-1.36661542707305,0.146419558234446,-1.66208938843469,0.00831193250108843,"Not significant"
"Erysipelotrichaceae UCG-003",1.66637894320966,0.150501319169051,2.36445799266535,0.00937451185913457,"Not significant"
"Bacteroides",-1.59442964784373,0.152410902665515,-2.50030269105336,0.00574462758532485,"Not significant"
"[Eubacterium] siraeum group",2.84664095282338,0.152410902665515,0.620835166279698,0.620061397939218,"Not significant"
"Senegalimassilia",2.12611175424833,0.152410902665515,0.41084557789098,0.584964486087264,"Not significant"
"UCG-009",2.81773687178817,0.179940520770111,-0.0823643472996169,0.945597739169976,"Not significant"
"Dialister",-2.21724565592096,0.184073366505388,-1.46474120496331,0.0839330811443126,"Not significant"
"Fournierella",2.3502518096159,0.184073366505388,0.160835314612647,0.850718400574343,"Not significant"
NA,3.19810976912267,0.206349668376521,NA,NA,"Not significant"
"Defluviitaleaceae UCG-011",2.04708647484368,0.210899574784773,1.19232503797299,0.100718793489883,"Not significant"
"Lachnoclostridium",1.37146978729214,0.215290555268624,0.979460211632909,0.242977071604095,"Not significant"
"Romboutsia",-1.65768038372069,0.22937526825667,-0.498871366352366,0.698192571249696,"Not significant"
NA,-2.32961641936681,0.22937526825667,NA,NA,"Not significant"
"Streptococcus",1.29513469808318,0.233548919070871,0.218171660162053,0.841559454339008,"Not significant"
NA,2.99393757886451,0.24024986779076,NA,NA,"Not significant"
NA,-1.88454820494634,0.252520903117681,NA,NA,"Not significant"
"[Eubacterium] ventriosum group",1.36353352583485,0.270909969656787,-0.615694830331806,0.595510823916204,"Not significant"
"Parabacteroides",-1.99523522600554,0.270909969656787,-2.2283981274125,0.00574462758532485,"Not significant"
"Subdoligranulum",-0.821749984517852,0.280582220100602,-1.0260597973555,0.150075486246374,"Not significant"
"Moryella",1.51542630853502,0.341570734623045,1.58291199842509,0.0230841586278179,"Not significant"
"Family XIII UCG-001",1.81462452996621,0.356375779940915,0.378404766930932,0.548621032222924,"Not significant"
"Hungatella",-1.96813467543881,0.357724915016274,-0.830931501140043,0.300422827847254,"Not significant"
"Flavonifractor",-1.22440888883859,0.387496763217787,-1.56517525790459,0.0345236783434936,"Not significant"
NA,0.704822208300132,0.392498087935783,NA,NA,"Not significant"
"Actinomyces",1.50820546681056,0.393508318520506,-0.00721427231322508,0.993407912846166,"Not significant"
"[Eubacterium] hallii group",0.836910149017955,0.486901518413831,0.0473819549570269,0.972945273175797,"Not significant"
"UBA1819",0.880057825718812,0.531695846862437,-0.256044647817821,0.716065949272029,"Not significant"
"Lachnospiraceae UCG-010",1.65600759218233,0.536768216553063,-0.47631009638708,0.620061397939218,"Not significant"
"Prevotella",-1.48921001233207,0.603601398729465,-1.29650913863332,0.0590896188242647,"Not significant"
NA,0.908844560703713,0.603601398729465,NA,NA,"Not significant"
NA,0.300223996492062,0.621505948053079,NA,NA,"Not significant"
"Oscillibacter",1.19773422642663,0.637682609443188,0.0342298303445766,0.972945273175797,"Not significant"
"Faecalitalea",-2.63131854511401,0.6411816393361,NA,NA,"Not significant"
NA,1.91969565784487,0.6411816393361,NA,NA,"Not significant"
"Megamonas",-2.0551967139844,0.646678123507351,NA,NA,"Not significant"
"Holdemania",0.859659319342383,0.646678123507351,-0.161402515560273,0.897430938916135,"Not significant"
"Oscillospira",-1.30405872469677,0.646678123507351,-0.559693754962513,0.295410149050541,"Not significant"
"Lachnospiraceae NK4A136 group",1.04532510807905,0.651893557744733,0.633350143387526,0.499376658178377,"Not significant"
"Monoglobus",0.507681259938177,0.659457486385892,0.286081655367493,0.71723288182021,"Not significant"
"Butyricicoccus",-0.41710678219454,0.659457486385892,-0.839392261324619,0.0787378130765805,"Not significant"
NA,0.567249380581071,0.659457486385892,NA,NA,"Not significant"
"Intestinibacter",0.718446650590173,0.659457486385892,-0.341118750014137,0.672853948772007,"Not significant"
"Negativibacillus",0.907539298253232,0.659457486385892,-0.553078775525137,0.545540003467918,"Not significant"
"UCG-003",1.44265505260164,0.659457486385892,-0.0257784784719984,0.972945273175797,"Not significant"
"Sellimonas",-2.04728256842125,0.659457486385892,NA,NA,"Not significant"
"[Eubacterium] eligens group",1.33578687647728,0.674501931548399,0.745400585387766,0.548621032222924,"Not significant"
"Tyzzerella",-0.611333704559085,0.709898820145391,-0.0841217485314216,0.954394170151133,"Not significant"
"Phascolarctobacterium",-0.734716482028286,0.71653708324259,-1.52412872953456,0.100718793489883,"Not significant"
"UCG-002",0.615019133346889,0.71653708324259,0.874935416762605,0.390367124089817,"Not significant"
"Catenibacillus",-0.92406007236026,0.71653708324259,-0.928904137950781,0.0537802810024565,"Not significant"
"CAG-56",-0.739835728780014,0.716832851268498,-0.577314812460969,0.641422370883384,"Not significant"
"Holdemanella",0.97677720294687,0.716832851268498,NA,NA,"Not significant"
"Christensenellaceae R-7 group",0.533871562173628,0.716832851268498,1.08697588329826,0.170538746074088,"Not significant"
"Slackia",1.35981144593649,0.716832851268498,NA,NA,"Not significant"
"Enterococcus",-1.42158899798191,0.716832851268498,-1.75236557761504,0.0333818686755464,"Not significant"
"Lachnospiraceae NC2004 group",0.502194613573579,0.718430282110389,0.528686746703436,0.672853948772007,"Not significant"
"NK4A214 group",-0.552998085599433,0.725507277586233,0.21766936736591,0.841559454339008,"Not significant"
NA,1.16145681965739,0.733589561561539,NA,NA,"Not significant"
"Shuttleworthia",0.702168861197817,0.733589561561539,0.281921063685186,0.736808047993922,"Not significant"
"Marvinbryantia",0.86978640562404,0.807153698572991,NA,NA,"Not significant"
"Catenibacterium",0.806463675703146,0.809615352751994,NA,NA,"Not significant"
"Howardella",0.832348984916648,0.809615352751994,NA,NA,"Not significant"
"Odoribacter",0.444826440896902,0.809615352751994,-0.580726125951299,0.368587152273863,"Not significant"
"Lactococcus",1.42025622015781,0.809615352751994,-1.28766132701145,0.290832222926788,"Not significant"
NA,0.656760675598315,0.823196990040662,NA,NA,"Not significant"
"Barnesiella",-0.539714304410351,0.833713328241138,-0.818176511100277,0.137089640658452,"Not significant"
"Turicibacter",-0.664651542362862,0.833713328241138,-0.402925738920507,0.672853948772007,"Not significant"
"Ruminococcus",0.220933571137327,0.835430410458128,-0.273668685612326,0.841559454339008,"Not significant"
"Alistipes",0.23502357410541,0.835430410458128,-1.04402640098259,0.295410149050541,"Not significant"
"Clostridium sensu stricto 1",0.481847770753231,0.835430410458128,-0.487625168717271,0.71723288182021,"Not significant"
"Lachnospiraceae UCG-008",-0.329693879472443,0.835430410458128,-1.21650824772214,0.0590896188242647,"Not significant"
"Parasutterella",-0.647369666450037,0.835430410458128,-0.831846661234373,0.0590896188242647,"Not significant"
"Methanobrevibacter",0.43159092642396,0.835430410458128,-0.320813655089533,0.584964486087264,"Not significant"
"Haemophilus",-0.690511928988305,0.835430410458128,NA,NA,"Not significant"
"Prevotellaceae NK3B31 group",-0.571772739052441,0.844099944582299,NA,NA,"Not significant"
"Frisingicoccus",0.408556118485128,0.851384071031932,-0.0905759881473276,0.913464059450895,"Not significant"
NA,0.386958892232395,0.88154084022775,NA,NA,"Not significant"
"Eggerthella",-0.0922963114297023,0.920870084307245,-0.69703963177689,0.290294770615345,"Not significant"
"Butyricimonas",0.195187983529264,0.920870084307245,-0.224394935155671,0.672853948772007,"Not significant"
"Veillonella",-0.0994696568752575,0.933825526251518,-0.852135737607227,0.248661284406461,"Not significant"
"Bifidobacterium",3.87954981165062,3.40938730736462e-07,3.50948212350804,0.00014899278630911,"Replicated"
"Blautia",7.52426923481428,4.66239455379783e-06,2.16801470838007,0.00360694812734381,"Replicated"
"Coprococcus",3.48016676158329,2.60581787393651e-05,2.41485165112477,0.00016739580265187,"Replicated"
"Family XIII AD3011 group",2.92076660321574,0.000212699501472879,1.86842525446328,4.2755707121937e-05,"Replicated"
"Escherichia-Shigella",-5.4286231079659,0.000273609902769518,-4.06569332475809,0.00014899278630911,"Replicated"
"Colidextribacter",3.11547356868425,0.00396124815495003,1.74119109858099,0.00527161122707788,"Replicated"
"Faecalibacterium",-1.68375508078225,0.020023149542784,-1.53805060512833,0.010344622627892,"Replicated"
"Lachnospiraceae FCS020 group",2.23680214882117,0.020023149542784,2.19430124106133,0.00110898558654678,"Replicated"
"DTU089",-2.89696176040212,0.0431840785269866,-1.80225501313392,0.0250393773935067,"Replicated"
"Sutterella",19.7680088766661,4.11917965758196e-18,-0.0526130598848765,0.954394170151133,"Unconfirmed"
"Bilophila",16.344439046662,1.01035185055834e-13,-0.137041718930362,0.841559454339008,"Unconfirmed"
NA,2.0283713032569,0.00019398353304444,NA,NA,"Unconfirmed"
NA,4.40308951073877,0.00042288810725117,NA,NA,"Unconfirmed"
